@relation activemq-train1

@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute buggy_RA numeric

@data

1,7,13,3.13793,899,0,0,0,0,0,0,1,1,0,-1
1,1,1,0,10,1,140,0,1,0.93,1,7,6.99,5,-1
1,1,1,0,28,0,73,0,1,0.93,1,8,7.99,6,-1
1,1,1,0,29,0,0,0,0,0,0,9,8.99,7,-1
1,2,8,2.54617,477,9,27.88,0,1,0.23,0.13,10,9.99,8,1
1,1,1,0,7,2,82,0,1,0.94,1,11,10.99,1,-1
1,2,2,1,2,0,165.5,0,1,0.94,0.5,12,11.99,2,-1
4,5,6,2.27096,27,21,161.5,0,1,0.81,0.67,0,0,0,-1
1,1,2,0.741848,132,25,285,0,1,1.3,0.5,1,1,0,-1
1,2,2,0.999526,28,11,103.5,0,1,1.78,0.5,14,13.96,1,-1
1,1,1,0,2,1,399,0,1,1.99,1,16,15.95,10,1
1,1,1,0,3,1,115,0,1,2.06,1,19,18.95,13,-1
1,1,1,0,2,2,420,0,2,1.29,2,2,1.99,1,-1
1,1,1,0,7,8,240,0,1,2.85,1,20,19.91,14,-1
1,5,15,3.29265,332,33,46.6,0,1,1.46,0.13,21,20.91,15,-1
1,1,1,0,3,3,121,0,1,3.42,1,0,0,0,-1
1,1,1,0,13,2,380,0,1,3.49,1,0,0,0,-1
1,2,3,1.03559,233,0,249.67,0,1,1.19,0.33,2,2,2,-1
1,1,1,0,3,1,1545,0,1,3.64,1,0,0,0,-1
1,1,1,0,2,2,254,0,1,3.69,1,1,1,1,-1
1,1,1,0,7,1,348,0,2,2.79,2,1,1,1,-1
1,2,6,2.10092,119,34,138,0,1,4,0.17,25,24.84,19,1
1,1,1,0,214,0,0,0,0,0,0,26,25.83,3,-1
1,1,1,0,0,2,121,0,2,0.85,2,0,0,0,-1
1,1,11,3.29229,331,78,11.09,0,1,2.45,0.09,1,1,0,-1
1,1,3,0.241452,90,0,51.33,0,1,0.01,0.33,3,3,2,-1
1,1,2,0.853497,140,0,0,0,0,0,0,29,28.62,21,-1
1,1,1,0,3,1,578,0,1,0.17,3,30,29.62,22,-1
1,1,1,0,1,1,190,0,1,6.98,1,5,4.96,1,-1
1,5,12,2.782,272,21,86.17,0,2,3.51,0.25,31,30.62,23,1
1,1,3,1.57072,0,151,50.33,0,1,7,0.33,32,31.62,24,-1
1,8,10,1.80916,69,146,157.2,0,2,0.16,0.5,6,5.95,2,-1
1,1,1,0,1,1,29,0,1,7.02,2,7,6.95,0,-1
1,1,4,1.48119,126,0,0,0,0,0,0,8,7.95,3,-1
1,1,1,0,110,0,0,0,0,0,0,9,8.95,4,-1
1,1,1,0,1,0,0,0,0,0,0,10,9.95,5,-1
1,1,1,0,15,17,1547,0,2,3.51,2,11,10.95,2,-1
1,1,1,0,35,3,219,0,2,0.92,2,3,2.98,1,-1
1,2,8,0,0,0,156.25,0,2,6.96,0.5,4,3.97,0,1
1,1,1,0,0,7,890,0,2,0.13,4,5,4.96,1,-1
1,1,1,0,104,0,0,0,0,0,0,33,32.55,25,1
1,1,1,0,25,7,384,0,1,7.87,1,34,33.54,2,-1
1,1,1,0,11,4,218,0,1,7.87,1,35,34.54,26,-1
1,1,1,0,5,4,76,0,1,7.87,1,36,35.54,1,-1
1,1,2,0.985228,14,0,1743.5,0,1,8.01,0.5,15,14.92,0,-1
1,1,1,0,1,0,101,0,1,8.03,1,16,15.92,1,-1
1,1,1,0,9,3,254,0,1,8.04,1,17,16.92,2,-1
1,2,2,0.954434,0,32,182.5,0,1,8.14,0.5,19,18.92,0,-1
1,1,1,0,0,5,257,0,3,0.48,3,20,19.92,2,-1
1,1,1,0,2,2,251,0,2,0.91,3,5,4.96,2,-1
1,1,1,0,4,1,103,0,1,8.49,1,21,20.9,4,-1
1,4,14,2.52143,365,446,76.5,0,1,5.46,0.07,22,21.9,5,1
2,2,3,1.16915,625,183,294.33,0,2,0.32,1.67,6,5.95,6,-1
1,2,12,3.52089,47,0,489.75,0,3,6.32,0.33,25,24.86,8,1
1,1,2,0.863121,14,0,314,0,1,9.12,0.5,26,25.86,1,-1
2,2,2,0.997436,151,0,0,0,0,0,0,28,27.85,7,-1
1,1,1,0,2,2,251,0,2,0.83,4,6,5.95,3,-1
1,1,1,0,28,0,110,0,2,0.15,2,29,28.84,1,-1
1,1,2,0.721928,15,0,92,0,1,9.34,0.5,3,2.95,0,-1
1,1,3,1.58496,3,3,133,0,2,1.44,1,7,6.94,5,-1
3,6,7,2.32247,74,39,141.57,0,2,0.37,1.71,30,29.84,20,-1
6,10,9,1.48772,200,16,150.56,0,2,0.22,1.56,31,30.83,29,-1
2,2,2,0.573139,81,0,232,0,2,0,2.5,32,31.83,7,-1
3,3,3,0.632522,114,1,181.67,0,2,0.01,2,33,32.83,9,-1
1,1,1,0,26,16,1086,0,2,0.79,6,34,33.83,12,-1
1,1,1,0,55,10,221,0,2,0.08,5,35,34.83,13,-1
1,1,1,0,11,8,750,0,3,0.3,3,8,7.94,1,-1
1,1,1,0,0,2,753,0,3,0.01,4,9,8.94,2,-1
1,5,6,0.945219,149,8,213,0,2,0.23,0.5,8,7.93,3,-1
1,2,3,1.40538,268,0,0,0,0,0,0,2,1.97,0,-1
1,4,16,3.71218,320,196,122.63,0,2,0.18,0.13,3,2.97,1,-1
1,2,2,0.938681,68,8,619.5,0,3,0.4,1.5,36,35.79,14,1
1,2,3,0.159554,194,311,863,0,2,6.77,2,38,37.78,15,-1
1,3,4,1.06311,22,37,161.5,0,3,2.69,1,4,3.96,2,-1
