ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_RA
3,3,4,1.4828700000000001,42,31,140.25,0,1,0.11,0.25,2,2.0,3,-1
1,1,1,0.0,0,7,329.0,0,1,0.93,1.0,3,2.99,1,-1
1,1,1,0.0,0,1,1.0,0,1,0.93,1.0,4,3.99,2,-1
1,1,1,0.0,6,0,78.0,0,1,0.93,1.0,5,4.99,3,-1
1,1,1,0.0,3,1,126.0,0,1,0.93,1.0,6,5.99,4,-1
1,1,1,0.0,10,1,140.0,0,1,0.93,1.0,7,6.99,5,-1
1,1,1,0.0,29,0,0.0,0,0,0.0,0.0,9,8.99,7,-1
1,2,8,2.54617,477,9,27.88,0,1,0.23,0.13,10,9.99,8,1
1,1,1,0.0,7,2,82.0,0,1,0.94,1.0,11,10.99,1,-1
1,2,3,1.55459,8,4,75.0,0,1,0.7,0.67,13,12.99,9,-1
1,1,2,0.741848,132,25,285.0,0,1,1.3,0.5,1,1.0,0,-1
1,2,2,0.999526,28,11,103.5,0,1,1.78,0.5,14,13.96,1,-1
1,1,1,0.0,13,12,191.0,0,1,1.83,1.0,15,14.96,2,-1
1,1,1,0.0,88,0,0.0,0,0,0.0,0.0,17,16.95,11,-1
1,1,1,0.0,1,1,645.0,0,1,2.05,1.0,18,17.95,12,-1
1,1,1,0.0,3,1,115.0,0,1,2.06,1.0,19,18.95,13,-1
1,1,1,0.0,2,2,420.0,0,2,1.29,2.0,2,1.99,1,-1
1,1,1,0.0,7,8,240.0,0,1,2.85,1.0,20,19.91,14,-1
1,5,15,3.29265,332,33,46.6,0,1,1.46,0.13,21,20.91,15,-1
1,1,1,0.0,13,2,380.0,0,1,3.49,1.0,0,0.0,0,-1
1,1,1,0.0,6,15,391.0,0,2,0.01,2.0,1,1.0,1,-1
1,2,3,1.03559,233,0,249.67,0,1,1.19,0.33,2,2.0,2,-1
1,1,1,0.0,3,1,1545.0,0,1,3.64,1.0,0,0.0,0,-1
1,1,1,0.0,6,1,909.0,0,1,3.83,1.0,22,21.85,16,-1
1,2,3,1.49492,4,7,76.67,0,2,2.91,1.33,23,22.84,17,-1
1,1,1,0.0,0,2,322.0,0,1,3.06,2.0,24,23.84,18,-1
1,2,6,2.10092,119,34,138.0,0,1,4.0,0.17,25,24.84,19,1
1,1,1,0.0,214,0,0.0,0,0,0.0,0.0,26,25.83,3,-1
1,1,11,3.29229,331,78,11.09,0,1,2.45,0.09,1,1.0,0,-1
1,1,1,0.0,3,0,332.0,0,1,4.5,1.0,2,2.0,1,-1
1,1,3,0.241452,90,0,51.33,0,1,0.01,0.33,3,3.0,2,-1
1,1,1,0.0,15,1,205.0,0,1,6.63,1.0,2,1.98,0,-1
1,6,21,3.4672699999999996,452,110,151.14,0,1,4.98,0.1,27,26.64,20,1
1,1,1,0.0,0,23,214.0,0,1,6.85,1.0,28,27.63,1,-1
1,1,3,1.5707200000000001,0,151,50.33,0,1,7.0,0.33,32,31.62,24,-1
1,8,10,1.8091599999999999,69,146,157.2,0,2,0.16,0.5,6,5.95,2,-1
1,1,1,0.0,1,0,0.0,0,0,0.0,0.0,10,9.95,5,-1
1,1,1,0.0,15,17,1547.0,0,2,3.51,2.0,11,10.95,2,-1
1,1,1,0.0,10,5,569.0,0,1,7.16,1.0,12,11.95,1,-1
2,2,5,1.0086,985,175,111.6,0,1,3.73,0.6,4,3.97,3,-1
1,2,8,0.0,0,0,156.25,0,2,6.96,0.5,4,3.97,0,1
1,1,1,0.0,0,7,890.0,0,2,0.13,4.0,5,4.96,1,-1
1,1,1,0.0,104,0,0.0,0,0,0.0,0.0,33,32.55,25,1
1,1,1,0.0,5,4,76.0,0,1,7.87,1.0,36,35.54,1,-1
1,2,2,0.745911,132,14,74.0,0,2,0.75,2.0,37,36.54,4,-1
