@relation camel-1-train1

@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute buggy_RA numeric

@data

4,20,42,0,0,0,54.64,0,1,0,0.02,1,1,1,-1
1,3,13,3.07453,295,114,53.15,0,1,0.05,0.23,3,3,2,-1
2,2,2,0.863121,12,2,243.5,0,1,0.04,3,6,6,6,-1
1,1,1,0,24,19,183,0,1,0.02,6,7,7,5,-1
2,5,6,2.14883,105,51,66,0,1,0.13,0.67,8,8,8,-1
1,1,1,0,1,1,25,0,2,0.04,3,0,0,0,-1
1,1,1,0,26,0,0,0,0,0,0,3,3,3,-1
1,1,1,0,1,1,88,0,2,0.01,4,10,9.99,8,-1
1,1,1,0,8,2,259,0,2,0,10,6,6,6,-1
2,9,18,3.57773,393,180,74.17,0,3,0.09,1.78,21,20.96,26,-1
1,2,5,1.90872,26,24,73,0,2,0.37,2,12,11.98,12,-1
1,5,9,2.77746,292,28,98.11,0,2,0.04,3.11,25,24.95,20,-1
1,2,6,2.33321,9,11,88.83,0,3,0.06,3.33,13,12.97,13,-1
2,7,7,1.53757,298,162,88.43,0,2,0.1,3.71,14,13.97,17,1
1,1,1,0,88,29,97,0,1,0.85,1,15,14.97,1,-1
1,7,12,3.02352,409,18,12.25,0,1,0.06,0.33,18,17.93,4,-1
1,2,4,1.76019,78,14,187,0,2,0.05,6.5,35,34.87,30,1
2,2,2,0.991076,6,3,80.5,0,2,0,6.5,37,36.87,47,-1
1,1,1,0,1,1,71,0,2,0.06,7,3,2.99,3,-1
3,5,6,2.26565,110,77,137.83,0,3,0.01,1.67,40,39.86,40,-1
1,9,16,3.44086,1003,0,0,0,0,0,0,20,19.92,0,-1
0,0,0,0,0,0,0,0,0,0,0,22,21.92,0,-1
2,6,17,2.98126,350,168,115.24,0,2,0.45,1.94,28,27.89,18,-1
3,15,53,4.44103,342,401,86.7,0,3,0.9,0.96,43,42.8,57,1
1,2,6,2.43858,332,62,64.17,0,2,0.05,3.33,47,46.79,20,1
2,2,2,0.936667,12,5,91,0,1,0.01,4.5,52,51.78,67,1
1,1,5,2.13218,398,0,0,0,0,0,0,4,3.98,0,-1
1,1,1,0,13,1,63,0,2,0.09,2,5,4.98,1,-1
2,4,8,2.46746,74,163,139.13,0,2,0.5,3,30,29.85,22,-1
1,6,9,2.91099,9,8,93.22,0,1,0.34,0.56,31,30.85,5,-1
2,5,5,2.12715,99,31,107.4,0,2,0.09,4.6,32,31.85,25,1
1,1,2,0.932112,19,4,52.5,0,1,0.08,0.5,8,7.97,4,-1
2,5,5,1.92035,101,20,173.6,0,2,0.02,5,34,33.85,29,-1
3,6,7,2.22916,98,103,173.43,0,2,0.6,7,36,35.81,32,1
1,2,2,0.281194,39,2,197,0,2,0.13,13,62,61.63,46,-1
3,5,8,2.07934,757,35,64.63,0,3,0.16,2,63,62.63,13,1
2,2,3,1.5504,54,57,54.67,0,1,0.61,1,64,63.63,48,-1
2,8,10,0,0,0,110.3,0,1,0.69,0.1,66,65.62,1,-1
1,1,1,0,38,12,39,0,1,0.12,1,38,37.77,24,-1
2,2,2,0.964079,81,9,84.5,0,2,1.02,4.5,68,67.61,35,-1
1,1,2,0.94115,231,118,152.5,0,1,0.02,0.5,10,9.95,5,-1
1,1,2,0.799759,0,70,75,0,1,1.39,2,75,74.03,8,-1
1,1,1,0,2,2,29,0,1,0.01,4,77,76.02,55,-1
1,2,4,1.75272,11,7,101,0,2,0.05,2,1,0.98,1,-1
1,1,1,0,7,0,445,0,3,3.14,16,39,38.45,2,-1
1,2,2,0.749595,11,3,61,0,1,3.21,1,40,39.45,0,-1
1,1,1,0,1,1,95,0,2,0.14,3,41,40.43,1,-1
1,1,1,0,19,0,95,0,2,0.73,4,84,82.8,3,-1
1,1,6,2.23596,882,0,0,0,0,0,0,85,83.8,3,1
1,1,1,0,0,24,24,0,1,0.05,1,87,85.79,5,-1
0,0,0,0,0,0,0,0,0,0,0,43,42.33,0,-1
1,1,3,1.09838,604,0,0,0,0,0,0,88,86.77,6,-1
1,2,5,2.06122,251,2,105.2,0,2,3.2,3.2,89,87.77,60,-1
1,6,11,2.84409,779,422,54.09,0,3,0.89,1.36,45,44.31,26,1
2,3,4,1.17675,127,0,114.5,0,3,0.25,4.5,46,45.23,3,-1
1,2,2,0.669016,117,3,43.5,0,1,0.01,0.5,47,46.22,1,-1
1,1,3,1.16816,26,16,119.67,0,2,0.01,8,93,91.51,35,-1
1,4,6,1.90255,42,2,61.67,0,2,1.51,2.33,95,93.29,62,-1
1,5,6,2.24331,97,26,98.67,0,1,1.18,0.67,96,94.29,63,-1
2,2,3,0.969011,17,38,88.67,0,2,2.34,6.67,98,96.28,74,-1
1,1,3,1.25494,124,122,201.33,0,1,2.7,0.33,104,102.09,10,-1
2,4,9,1.82929,218,18,65.56,0,1,0.22,0.22,109,107.04,69,1
1,2,2,0.103275,74,0,0,0,0,0,0,111,108.99,5,-1
1,1,1,0,79,0,0,0,0,0,0,11,10.64,6,-1
1,6,13,3.462,1096,0,0,0,0,0,0,114,110.92,0,1
2,4,13,3.218,362,121,71.92,0,1,0.84,0.54,117,113.85,76,1
1,4,7,1.91828,138,15,74,0,1,0.05,0.57,118,114.84,4,-1
1,1,2,0.591673,0,7,74,0,2,3.74,4.5,119,115.84,14,-1
2,5,7,2.39027,162,44,100,0,2,1.53,3.14,123,119.81,83,-1
1,1,1,0,11,6,99,0,1,7.03,1,128,124.52,0,-1
10,26,53,5.62096,81,92,108.6,0,4,5.88,1.81,129,125.52,192,1
0,0,0,0,0,0,0,0,0,0,0,49,47.33,0,-1
1,3,3,1.54701,228,0,0,0,0,0,0,135,131.16,0,1
1,2,2,0.918296,4,8,179,0,1,0.01,0.5,136,132.16,1,-1
2,3,4,1.9183,17,1,233.75,0,3,7.69,6,137,133.16,19,-1
1,18,43,3.2764,2192,0,0,0,0,0,0,140,136.16,0,-1
1,3,4,1.81704,242,22,79.5,0,2,6.78,1.5,142,134.36,86,1
2,5,7,1.80239,37,37,221,0,3,12.53,4.43,143,135.35,36,-1
1,1,2,0.936667,4,13,164,0,2,0.05,3.5,145,137.34,87,-1
1,1,1,0,2,2,131,0,1,18.02,4,147,138.96,21,-1
2,3,4,1.46096,20,0,239.25,0,3,9.26,6.5,149,140.89,22,-1
1,1,1,0,1,1,80,0,1,11.95,1,151,142.88,2,-1
1,1,1,0,1,1,132,0,1,14.25,1,52,48.65,2,-1
14,14,14,3.04251,15,40,143.07,0,4,12.36,3.93,155,146.54,244,-1
1,1,2,0.206878,119,4,78.5,0,1,0.01,0.5,159,150.38,92,-1
