ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_RA
4.0,20.0,42.0,0.0,0.0,0.0,54.64,0.0,1.0,0.0,0.02,1.0,1.0,1.0,-1.0
1.0,3.0,13.0,3.07453,295.0,114.0,53.15,0.0,1.0,0.05,0.23,3.0,3.0,2.0,-1.0
2.0,2.0,2.0,0.8631209999999999,12.0,2.0,243.5,0.0,1.0,0.04,3.0,6.0,6.0,6.0,-1.0
1.0,1.0,1.0,0.0,24.0,19.0,183.0,0.0,1.0,0.02,6.0,7.0,7.0,5.0,-1.0
2.0,5.0,6.0,2.14883,105.0,51.0,66.0,0.0,1.0,0.13,0.67,8.0,8.0,8.0,-1.0
1.0,1.0,1.0,0.0,1.0,1.0,25.0,0.0,2.0,0.04,3.0,0.0,0.0,0.0,-1.0
1.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,-1.0
1.0,1.0,1.0,0.0,1.0,1.0,88.0,0.0,2.0,0.01,4.0,10.0,9.99,8.0,-1.0
1.0,1.0,1.0,0.0,8.0,2.0,259.0,0.0,2.0,0.0,10.0,6.0,6.0,6.0,-1.0
2.0,9.0,18.0,3.5777300000000003,393.0,180.0,74.17,0.0,3.0,0.09,1.78,21.0,20.96,26.0,-1.0
1.0,2.0,5.0,1.90872,26.0,24.0,73.0,0.0,2.0,0.37,2.0,12.0,11.98,12.0,-1.0
1.0,5.0,9.0,2.77746,292.0,28.0,98.11,0.0,2.0,0.04,3.11,25.0,24.95,20.0,-1.0
1.0,2.0,6.0,2.33321,9.0,11.0,88.83,0.0,3.0,0.06,3.33,13.0,12.97,13.0,-1.0
2.0,7.0,7.0,1.53757,298.0,162.0,88.43,0.0,2.0,0.1,3.71,14.0,13.97,17.0,1.0
1.0,1.0,1.0,0.0,88.0,29.0,97.0,0.0,1.0,0.85,1.0,15.0,14.97,1.0,-1.0
1.0,7.0,12.0,3.02352,409.0,18.0,12.25,0.0,1.0,0.06,0.33,18.0,17.93,4.0,-1.0
1.0,2.0,4.0,1.76019,78.0,14.0,187.0,0.0,2.0,0.05,6.5,35.0,34.87,30.0,1.0
2.0,2.0,2.0,0.991076,6.0,3.0,80.5,0.0,2.0,0.0,6.5,37.0,36.87,47.0,-1.0
1.0,1.0,1.0,0.0,1.0,1.0,71.0,0.0,2.0,0.06,7.0,3.0,2.99,3.0,-1.0
3.0,5.0,6.0,2.26565,110.0,77.0,137.83,0.0,3.0,0.01,1.67,40.0,39.86,40.0,-1.0
1.0,9.0,16.0,3.44086,1003.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,19.92,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.92,0.0,-1.0
2.0,6.0,17.0,2.98126,350.0,168.0,115.24,0.0,2.0,0.45,1.94,28.0,27.89,18.0,-1.0
3.0,15.0,53.0,4.4410300000000005,342.0,401.0,86.7,0.0,3.0,0.9,0.96,43.0,42.8,57.0,1.0
1.0,2.0,6.0,2.43858,332.0,62.0,64.17,0.0,2.0,0.05,3.33,47.0,46.79,20.0,1.0
2.0,2.0,2.0,0.936667,12.0,5.0,91.0,0.0,1.0,0.01,4.5,52.0,51.78,67.0,1.0
1.0,1.0,5.0,2.13218,398.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.98,0.0,-1.0
1.0,1.0,1.0,0.0,13.0,1.0,63.0,0.0,2.0,0.09,2.0,5.0,4.98,1.0,-1.0
2.0,4.0,8.0,2.46746,74.0,163.0,139.13,0.0,2.0,0.5,3.0,30.0,29.85,22.0,-1.0
1.0,6.0,9.0,2.91099,9.0,8.0,93.22,0.0,1.0,0.34,0.56,31.0,30.85,5.0,-1.0
2.0,5.0,5.0,2.12715,99.0,31.0,107.4,0.0,2.0,0.09,4.6,32.0,31.85,25.0,1.0
1.0,1.0,2.0,0.932112,19.0,4.0,52.5,0.0,1.0,0.08,0.5,8.0,7.97,4.0,-1.0
2.0,5.0,5.0,1.92035,101.0,20.0,173.6,0.0,2.0,0.02,5.0,34.0,33.85,29.0,-1.0
3.0,6.0,7.0,2.22916,98.0,103.0,173.43,0.0,2.0,0.6,7.0,36.0,35.81,32.0,1.0
1.0,2.0,2.0,0.281194,39.0,2.0,197.0,0.0,2.0,0.13,13.0,62.0,61.63,46.0,-1.0
3.0,5.0,8.0,2.07934,757.0,35.0,64.63,0.0,3.0,0.16,2.0,63.0,62.63,13.0,1.0
2.0,2.0,3.0,1.5504,54.0,57.0,54.67,0.0,1.0,0.61,1.0,64.0,63.63,48.0,-1.0
2.0,8.0,10.0,0.0,0.0,0.0,110.3,0.0,1.0,0.69,0.1,66.0,65.62,1.0,-1.0
1.0,1.0,1.0,0.0,38.0,12.0,39.0,0.0,1.0,0.12,1.0,38.0,37.77,24.0,-1.0
2.0,2.0,2.0,0.964079,81.0,9.0,84.5,0.0,2.0,1.02,4.5,68.0,67.61,35.0,-1.0
1.0,1.0,2.0,0.94115,231.0,118.0,152.5,0.0,1.0,0.02,0.5,10.0,9.95,5.0,-1.0
1.0,1.0,2.0,0.799759,0.0,70.0,75.0,0.0,1.0,1.39,2.0,75.0,74.03,8.0,-1.0
1.0,1.0,1.0,0.0,2.0,2.0,29.0,0.0,1.0,0.01,4.0,77.0,76.02,55.0,-1.0
1.0,2.0,4.0,1.75272,11.0,7.0,101.0,0.0,2.0,0.05,2.0,1.0,0.98,1.0,-1.0
1.0,1.0,1.0,0.0,7.0,0.0,445.0,0.0,3.0,3.14,16.0,39.0,38.45,2.0,-1.0
1.0,2.0,2.0,0.749595,11.0,3.0,61.0,0.0,1.0,3.21,1.0,40.0,39.45,0.0,-1.0
1.0,1.0,1.0,0.0,1.0,1.0,95.0,0.0,2.0,0.14,3.0,41.0,40.43,1.0,-1.0
1.0,1.0,1.0,0.0,19.0,0.0,95.0,0.0,2.0,0.73,4.0,84.0,82.8,3.0,-1.0
1.0,1.0,6.0,2.23596,882.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,83.8,3.0,1.0
1.0,1.0,1.0,0.0,0.0,24.0,24.0,0.0,1.0,0.05,1.0,87.0,85.79,5.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,42.33,0.0,-1.0
1.0,1.0,3.0,1.09838,604.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,86.77,6.0,-1.0
1.0,2.0,5.0,2.06122,251.0,2.0,105.2,0.0,2.0,3.2,3.2,89.0,87.77,60.0,-1.0
1.0,6.0,11.0,2.84409,779.0,422.0,54.09,0.0,3.0,0.89,1.36,45.0,44.31,26.0,1.0
2.0,3.0,4.0,1.17675,127.0,0.0,114.5,0.0,3.0,0.25,4.5,46.0,45.23,3.0,-1.0
1.0,2.0,2.0,0.6690159999999999,117.0,3.0,43.5,0.0,1.0,0.01,0.5,47.0,46.22,1.0,-1.0
1.0,1.0,3.0,1.16816,26.0,16.0,119.67,0.0,2.0,0.01,8.0,93.0,91.51,35.0,-1.0
1.0,4.0,6.0,1.90255,42.0,2.0,61.67,0.0,2.0,1.51,2.33,95.0,93.29,62.0,-1.0
1.0,5.0,6.0,2.24331,97.0,26.0,98.67,0.0,1.0,1.18,0.67,96.0,94.29,63.0,-1.0
2.0,2.0,3.0,0.969011,17.0,38.0,88.67,0.0,2.0,2.34,6.67,98.0,96.28,74.0,-1.0
1.0,1.0,3.0,1.25494,124.0,122.0,201.33,0.0,1.0,2.7,0.33,104.0,102.09,10.0,-1.0
2.0,4.0,9.0,1.82929,218.0,18.0,65.56,0.0,1.0,0.22,0.22,109.0,107.04,69.0,1.0
1.0,2.0,2.0,0.103275,74.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,108.99,5.0,-1.0
1.0,1.0,1.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.64,6.0,-1.0
1.0,6.0,13.0,3.462,1096.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,110.92,0.0,1.0
2.0,4.0,13.0,3.218,362.0,121.0,71.92,0.0,1.0,0.84,0.54,117.0,113.85,76.0,1.0
1.0,4.0,7.0,1.91828,138.0,15.0,74.0,0.0,1.0,0.05,0.57,118.0,114.84,4.0,-1.0
1.0,1.0,2.0,0.591673,0.0,7.0,74.0,0.0,2.0,3.74,4.5,119.0,115.84,14.0,-1.0
2.0,5.0,7.0,2.39027,162.0,44.0,100.0,0.0,2.0,1.53,3.14,123.0,119.81,83.0,-1.0
1.0,1.0,1.0,0.0,11.0,6.0,99.0,0.0,1.0,7.03,1.0,128.0,124.52,0.0,-1.0
