ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_RA
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,-1
1,1,1,0.0,202,0,0.0,0,0,0.0,0.0,0,0.0,0,-1
2,9,10,1.2767899999999999,1447,1392,1200.3,0,1,28.1,0.1,0,0.0,0,-1
2,9,9,2.4034299999999997,38,93,1274.67,0,2,0.01,0.22,1,1.0,2,-1
2,6,6,1.673,64,20,1813.0,0,2,3.58,0.83,4,3.96,6,-1
1,1,1,0.0,16,16,318.0,0,2,3.84,4.0,5,4.96,5,-1
1,1,1,0.0,32,0,0.0,0,0,0.0,0.0,6,5.96,3,-1
2,2,2,0.44455200000000006,51,68,420.5,0,2,4.98,2.5,0,0.0,0,-1
1,1,1,0.0,0,3,299.0,0,2,6.91,2.0,1,1.0,0,-1
1,1,2,0.8453510000000001,11,11,82.5,0,2,7.03,1.0,1,1.0,1,-1
1,1,1,0.0,2,2,1235.0,0,2,8.04,2.0,2,1.99,1,-1
1,1,1,0.0,2,2,772.0,0,4,1.21,6.0,3,2.99,1,-1
1,1,1,0.0,4,17,429.0,1,2,10.78,2.0,7,6.83,6,-1
1,9,14,3.77356,0,15,563.36,0,2,10.17,0.29,8,7.83,7,-1
1,1,1,0.0,1,6,1227.0,0,2,11.85,2.0,0,0.0,0,-1
1,1,1,0.0,3,1,1788.0,1,2,11.95,2.0,9,8.8,8,1
1,1,2,0.6420640000000001,31,18,3072.0,0,2,10.16,2.5,1,1.0,1,-1
1,1,1,0.0,3,0,368.0,0,2,12.09,2.0,2,2.0,2,-1
1,1,9,3.02717,11,11,151.89,0,2,12.91,0.22,1,1.0,1,-1
1,1,1,0.0,1,1,90.0,0,2,12.92,2.0,10,9.78,9,-1
1,2,2,0.994985,32,16,677.5,0,2,12.54,1.5,2,2.0,2,1
1,1,1,0.0,12,16,729.0,1,2,13.7,2.0,3,2.99,3,-1
1,1,2,0.9931540000000001,52,61,1850.0,0,2,13.79,1.0,11,10.75,10,-1
1,2,4,1.56837,34,120,3689.25,0,2,10.87,0.75,12,11.75,11,1
1,1,1,0.0,10,4,2326.0,1,2,18.86,2.0,3,2.94,3,1
1,1,1,0.0,2,1,11504.0,0,2,18.97,2.0,13,12.58,12,-1
1,1,1,0.0,1,1,9.0,0,2,20.13,2.0,6,5.83,1,-1
1,1,2,0.758988,310,0,0.0,0,0,0.0,0.0,7,6.8,4,-1
1,4,5,2.18338,4,16,431.6,0,2,25.82,0.4,15,14.32,14,-1
1,1,1,0.0,0,6,942.0,0,2,27.82,2.0,16,15.24,15,-1
1,2,2,1.0,2,2,459.0,0,2,27.41,1.5,17,16.24,16,-1
1,1,2,0.650022,19,5,511.5,0,2,27.92,1.0,18,17.24,17,-1
1,1,1,0.0,13,0,0.0,0,0,0.0,0.0,19,18.24,4,-1
1,1,1,0.0,7,6,2989.0,0,2,19.02,3.0,5,4.78,5,-1
1,7,12,2.63345,8,939,1089.42,0,3,32.9,0.5,4,3.79,4,-1
1,1,2,0.7462340000000001,73,7,4486.0,1,3,3.1,1.5,5,4.74,4,-1
1,1,1,0.0,3,38,1119.0,0,2,41.93,2.0,22,20.49,20,-1
1,1,1,0.0,0,6,497.0,0,2,16.11,3.0,24,22.49,22,-1
1,4,4,1.295,2,17,3822.75,0,4,33.38,1.25,7,6.57,7,-1
1,1,2,0.99403,8,3,6.5,0,1,10.19,0.5,25,23.11,5,-1
1,2,28,4.78343,6,142,839.07,0,3,39.25,0.32,27,25.11,24,-1
1,5,50,5.540830000000001,2,259,230.86,0,3,44.92,0.2,28,26.08,25,-1
1,1,3,1.5766200000000001,0,13,82.33,0,2,48.89,0.67,31,29.07,28,-1
1,9,61,5.90402,6,270,250.08,0,2,46.66,0.1,36,34.07,33,-1
1,1,1,0.0,5,2,826.0,0,2,0.26,3.0,8,7.51,8,1
1,2,9,3.15002,138,54,230.11,0,2,12.75,0.44,38,35.99,34,1
1,2,28,4.80735,420,140,834.21,0,3,1.5,0.36,39,36.99,35,1
1,5,50,5.64386,750,250,225.72,0,3,0.95,0.22,40,37.99,36,1
1,1,1,0.0,1,1,76.0,0,1,4.7,1.0,6,5.51,5,-1
1,3,3,1.34859,32,12,509.33,0,2,4.29,1.0,7,6.51,6,-1
1,1,1,0.0,1,0,78.0,0,2,54.19,2.0,12,11.13,3,-1
1,6,36,4.16622,404,408,204.47,0,5,6.86,0.33,13,12.13,4,-1
1,1,1,0.0,1,1,86.0,0,1,5.63,1.0,8,7.49,7,-1
1,1,2,1.0,0,4,872.5,0,2,5.98,2.0,45,42.32,41,-1
1,1,1,0.0,12,9,1135.0,0,4,2.83,6.0,10,9.33,10,-1
1,1,2,0.491237,47,9,535.0,0,4,23.6,6.0,14,12.96,8,-1
1,2,2,0.10106699999999999,0,76,386.0,0,2,35.19,2.5,47,43.84,42,-1
1,1,1,0.0,14,34,1090.0,1,2,11.08,5.0,48,44.76,43,-1
1,1,1,0.0,3,3,1768.0,1,2,11.11,4.0,11,10.23,11,-1
1,3,5,1.76693,33,5,1191.6,1,4,16.22,1.8,49,45.25,44,-1
1,1,2,1.0,2,2,4472.0,0,3,17.03,3.0,10,9.23,9,-1
1,1,1,0.0,9,0,1002.0,0,4,7.77,12.0,15,13.69,9,-1
1,1,2,0.24507800000000002,165,32,121.0,0,1,22.92,0.5,16,14.66,10,-1
1,1,10,3.13957,15,15,168.5,0,4,15.23,0.6,18,16.6,5,1
1,1,1,0.0,8,8,1138.0,0,4,12.9,7.0,19,17.58,6,-1
1,3,6,0.9381950000000001,5877,1217,225.17,0,2,3.82,0.5,13,12.14,12,-1
1,1,1,0.0,49,11,1001.0,0,1,24.61,1.0,14,13.0,13,-1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,20,18.38,0,-1
1,1,1,0.0,4,4,9.0,0,3,14.23,4.0,22,20.38,4,-1
1,1,1,0.0,1,1,9.0,0,3,14.23,4.0,23,21.38,5,-1
1,4,4,1.27516,32,4,316.75,1,3,25.02,2.25,51,46.13,46,-1
1,2,2,0.8112779999999999,4,4,471.0,0,1,25.49,0.5,24,22.33,7,-1
1,2,2,0.8112779999999999,4,4,471.0,0,1,25.68,0.5,25,23.32,8,-1
1,5,10,2.10922,498,96,784.3,1,5,10.26,1.5,26,24.32,9,1
1,4,14,3.80556,242,144,1053.57,0,2,25.41,0.71,52,47.08,47,1
1,4,14,3.80556,242,144,1053.57,0,2,25.42,0.71,53,48.07,48,-1
1,1,1,0.0,1,0,13.0,0,2,75.93,2.0,54,49.0,2,-1
1,1,8,2.93985,62,8,438.13,0,2,26.22,0.5,55,49.97,49,-1
1,6,9,2.1938400000000002,7,585,697.56,0,3,33.39,0.89,57,51.07,50,-1
1,9,12,3.3892599999999997,47,48,1707.17,0,3,34.11,1.17,59,52.93,52,-1
1,4,6,1.5426799999999998,137,6,42.5,1,3,9.51,1.0,5,4.16,5,-1
2,6,17,3.0380700000000003,1630,133,940.65,0,4,36.3,1.82,15,13.16,15,1
1,1,3,1.15076,930,930,310.0,0,1,0.07,0.33,16,14.16,15,-1
1,1,1,0.0,12,54,1793.0,0,2,53.12,5.0,60,51.55,53,1
1,1,1,0.0,4,1,1630.0,0,3,4.95,5.0,17,14.98,16,-1
1,4,12,2.4550099999999997,113,184,1808.17,0,4,49.92,1.33,61,52.3,54,1
1,4,5,2.16938,1801,0,0.0,0,0,0.0,0.0,15,12.94,15,1
1,1,1,0.0,1,1,1095.0,0,2,0.68,8.0,62,53.22,55,-1
2,2,2,0.675864,219,0,505.5,0,4,19.38,6.5,27,23.46,21,1
2,2,2,0.675864,219,0,505.5,0,4,19.39,6.5,28,24.46,23,-1
1,1,1,0.0,1,0,117.0,0,2,105.95,2.0,29,25.46,6,-1
2,10,19,3.3414800000000002,10,1248,998.74,0,4,38.51,1.0,63,53.89,60,-1
1,9,10,2.5533900000000003,156,82,631.4,0,4,52.63,1.3,64,54.81,57,1
1,1,1,0.0,2,0,912.0,0,2,25.54,2.0,65,55.81,58,-1
1,8,16,3.26091,54,367,1219.31,0,3,48.62,0.94,66,56.78,59,-1
1,1,1,0.0,444,0,0.0,0,0,0.0,0.0,19,16.71,18,-1
1,2,4,0.172043,727,23,3002.0,0,2,27.59,0.5,67,57.53,60,-1
1,2,2,0.033222,565,14,971.5,0,2,27.62,1.0,68,58.52,61,-1
1,2,4,1.43718,10,11,746.75,0,2,27.74,0.5,69,59.51,62,-1
1,1,2,0.468996,10,0,30.0,0,3,1.07,2.0,31,27.06,12,-1
1,1,1,0.0,26,4,1039.0,0,3,28.7,3.0,32,28.06,13,-1
1,2,2,0.9994299999999999,123,126,192.5,0,2,28.74,1.0,70,60.36,63,-1
1,2,2,0.684038,5,6,191.0,0,2,0.01,1.5,71,61.36,64,-1
1,2,2,0.054023,1829,122,3202.5,0,2,28.82,1.0,72,62.35,65,-1
1,1,2,0.080136,101,101,50.5,0,1,2.95,0.5,75,65.24,68,-1
1,1,2,0.120681,3050,3050,1525.0,0,1,2.96,0.5,76,66.24,69,-1
1,2,2,0.619382,6,7,1167.5,0,3,3.08,1.5,77,67.22,70,-1
1,1,1,0.0,8,4,368.0,0,1,3.19,3.0,1,0.72,1,-1
1,8,17,2.0825400000000003,1186,154,924.35,0,5,30.66,1.53,78,68.1,71,1
1,1,5,2.07762,0,1414,282.8,0,2,32.41,0.8,79,68.76,72,-1
1,4,8,2.60915,46,20,875.13,0,2,45.24,1.13,80,69.76,73,1
1,9,41,4.34173,429,222,565.9,0,5,25.49,0.46,20,17.49,19,1
1,1,1,0.0,0,8,8.0,0,1,0.0,1.0,22,19.49,21,-1
1,2,4,1.18865,2,136,67.0,0,3,17.24,0.75,23,20.44,22,-1
1,2,2,0.908825,135,10,513.0,0,1,3.57,0.5,33,28.7,14,-1
1,1,1,0.0,9,0,1209.0,0,2,33.99,4.0,34,29.7,15,-1
1,1,1,0.0,187,159,372.0,0,2,4.51,4.0,2,1.41,1,-1
1,1,1,0.0,47,251,400.0,0,3,0.79,5.0,35,30.62,14,-1
1,3,3,1.36096,6,24,604.33,0,3,62.29,3.0,81,70.08,74,-1
1,1,1,0.0,13,1,532.0,1,2,70.85,4.0,84,72.92,77,1
1,4,4,1.77575,32,16,1194.75,1,3,8.17,3.5,85,73.91,78,1
2,2,3,1.52193,5,5,676.33,1,4,42.65,6.0,37,32.31,32,-1
1,1,1,0.0,3,3,1218.0,1,2,5.56,5.0,38,33.27,18,-1
1,1,2,0.9182959999999999,5,1,1.5,0,3,6.5,2.5,39,34.27,19,-1
1,1,2,1.0,2,2,361.0,0,3,26.28,1.5,40,35.27,20,-1
2,3,9,2.13972,257,384,1540.44,0,4,19.49,2.0,86,74.33,84,1
2,6,6,2.20128,58,11,221.5,0,4,68.95,3.17,41,36.16,37,-1
1,2,3,1.09463,75,1,872.33,1,1,14.33,0.33,87,75.29,80,-1
1,2,8,1.8078,141,205,544.38,0,3,36.65,1.88,88,76.29,81,-1
1,1,3,0.915428,39,20,308.33,0,1,75.12,0.33,42,37.13,22,1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,43,38.05,0,-1
2,5,11,1.92297,148,3,104.27,0,4,0.34,2.09,44,39.0,40,1
1,2,3,1.5849600000000001,0,3,520.67,0,2,80.88,1.33,89,76.11,82,-1
1,4,4,1.57151,6476,0,3.25,0,1,5.27,0.25,90,77.06,83,1
1,2,7,0.707171,4631,3,10.57,0,3,24.99,0.43,47,41.45,25,-1
1,1,3,1.53661,171,0,0.0,0,0,0.0,0.0,48,42.45,26,-1
1,16,18,2.63902,110,97,960.22,0,5,49.1,2.28,92,78.88,85,1
1,1,1,0.0,1,20,318.0,0,2,83.01,4.0,95,81.7,88,-1
1,1,2,0.9910760000000001,3,15,1967.0,0,4,71.82,4.0,96,82.69,89,-1
1,2,2,0.721928,10,0,28.5,0,1,16.86,1.0,19,16.0,19,-1
1,3,8,1.29566,3398,54,518.5,0,4,8.38,1.13,50,44.27,28,1
1,1,1,0.0,1,0,116.0,0,2,136.37,2.0,51,44.9,29,-1
