@relation geronimo-1-train1

@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute buggy_RA numeric

@data

1,1,4,1.93334,186,0,0,0,0,0,0,2,1.99,0,-1
1,1,1,0,8,6,31,0,1,0.45,1,0,0,0,-1
1,1,1,0,28,10,10,0,1,0.88,1,4,4,2,-1
1,2,4,1.9378,721,0,0,0,0,0,0,5,5,5,-1
1,5,10,2.80151,563,59,93,0,3,0.33,0.3,6,5.99,6,1
1,1,1,0,8,4,28,0,3,0.01,3,6,5.99,4,-1
1,1,1,0,209,0,0,0,0,0,0,7,6.99,2,-1
1,1,2,0.988601,231,0,0,0,0,0,0,1,1,1,-1
1,1,1,0,4,0,31,0,3,0.69,3,9,8.99,1,-1
1,1,1,0,52,11,27,0,4,0.74,4,0,0,0,-1
1,1,1,0,2,2,57,0,2,0.78,2,1,1,1,-1
2,2,2,0.811278,2,6,57,0,3,0.48,2,3,3,2,-1
1,1,1,0,751,0,0,0,0,0,0,7,7,4,-1
1,1,1,0,2,2,751,0,1,0,1,8,8,5,-1
1,3,5,1.82031,463,0,0,0,0,0,0,9,9,6,-1
1,1,1,0,165,0,0,0,0,0,0,10,10,7,-1
1,1,1,0,2,2,60,0,1,0.12,1,11,11,8,-1
1,1,1,0,2,1,101,0,1,0.45,1,10,9.98,8,-1
1,1,1,0,21,3,94,0,1,0.55,1,11,10.98,9,-1
1,1,2,0.91567,384,0,0,0,0,0,0,2,1.99,1,-1
1,1,1,0,119,0,0,0,0,0,0,15,14.97,12,-1
1,1,1,0,55,0,0,0,0,0,0,13,12.98,10,-1
1,1,1,0,167,0,0,0,0,0,0,14,13.98,11,-1
1,1,1,0,1,1,180,0,1,0.03,1,21,20.97,18,-1
1,1,1,0,14,1,74,0,5,0.12,7,26,25.97,4,-1
1,3,5,2.1355,67,14,188.4,0,1,0.15,1.2,29,28.95,25,-1
1,2,6,2.58496,6,6,92.83,0,1,0.03,0.17,17,16.94,14,-1
1,4,5,1.5496,95,24,195.8,0,2,1.54,1.2,6,5.98,5,-1
1,1,1,0,182,0,0,0,0,0,0,8,7.98,7,1
1,3,9,2.5353,556,250,103.11,0,4,0.81,0.44,1,1,1,-1
1,3,3,1.49869,10,15,209.33,0,4,2.24,2,13,12.92,4,-1
1,4,4,1.904,443,11,22.5,0,1,0.14,0.25,14,13.92,5,-1
1,1,5,2.25875,690,0,0,0,0,0,0,0,0,0,-1
2,2,2,1,14,2,81,0,4,1.7,5.5,2,2,2,-1
