ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_RA
1.0,1.0,1.0,0.0,1.0,1.0,676.0,1.0,1.0,3.02,1.0,0.0,0.0,0.0,-1.0
1.0,2.0,13.0,3.08684,166.0,166.0,474.54,0.0,2.0,13.77,0.15,1.0,0.96,1.0,-1.0
1.0,2.0,17.0,3.44,402.0,402.0,454.76,0.0,2.0,6.16,0.18,2.0,1.95,2.0,-1.0
3.0,4.0,37.0,4.0113400000000015,3700.0,1264.0,246.16,0.0,2.0,10.59,0.14,4.0,3.78,5.0,1.0
1.0,2.0,11.0,2.63403,457.0,273.0,635.55,0.0,1.0,6.4,0.45,5.0,4.73,5.0,-1.0
2.0,2.0,5.0,1.60132,32.0,17.0,147.6,0.0,2.0,7.69,1.4,2.0,1.98,2.0,-1.0
2.0,3.0,7.0,1.42832,469.0,133.0,198.14,0.0,2.0,2.73,1.71,6.0,5.97,10.0,-1.0
2.0,2.0,16.0,3.5607300000000004,181.0,139.0,564.38,0.0,2.0,5.71,0.88,7.0,6.95,12.0,1.0
2.0,2.0,5.0,1.94225,180.0,78.0,579.8,0.0,2.0,0.21,2.8,8.0,7.95,14.0,-1.0
2.0,2.0,2.0,0.8112779999999999,4.0,0.0,112.5,0.0,2.0,8.85,4.5,9.0,8.93,8.0,-1.0
3.0,4.0,4.0,0.823859,56.0,21.0,502.25,0.0,2.0,2.08,4.0,11.0,10.92,17.0,-1.0
1.0,2.0,24.0,2.68346,1901.0,616.0,384.38,0.0,3.0,8.36,0.63,12.0,11.77,9.0,1.0
3.0,3.0,4.0,1.66717,60.0,81.0,627.0,0.0,2.0,0.92,5.25,17.0,16.5,28.0,-1.0
2.0,2.0,5.0,1.16536,700.0,418.0,94.4,0.0,2.0,15.3,3.6,20.0,19.21,32.0,1.0
2.0,3.0,12.0,3.10072,1999.0,0.0,2.75,0.0,1.0,0.12,1.5,22.0,21.08,36.0,1.0
4.0,5.0,16.0,3.36112,376.0,134.0,367.5,0.0,2.0,4.28,1.75,23.0,22.05,44.0,1.0
2.0,3.0,7.0,1.95225,422.0,55.0,271.29,0.0,2.0,8.8,4.14,24.0,23.04,40.0,-1.0
1.0,3.0,8.0,3.0,0.0,8.0,226.88,0.0,1.0,6.54,0.5,9.0,8.1,9.0,-1.0
2.0,4.0,8.0,2.3976,141.0,86.0,262.75,0.0,2.0,8.72,2.25,10.0,9.08,12.0,1.0
3.0,3.0,8.0,2.09513,170.0,49.0,896.88,0.0,2.0,7.68,3.88,25.0,23.37,47.0,-1.0
2.0,2.0,3.0,1.20348,24.0,44.0,48.0,0.0,3.0,4.3,8.33,26.0,24.24,44.0,-1.0
3.0,7.0,23.0,3.67977,1420.0,53.0,277.7,0.0,3.0,6.7,1.61,27.0,25.08,49.0,1.0
2.0,2.0,6.0,1.56955,57.0,39.0,297.83,0.0,4.0,7.31,6.33,28.0,25.83,48.0,-1.0
2.0,4.0,12.0,3.01512,1155.0,86.0,398.08,0.0,3.0,2.17,3.17,3.0,2.95,6.0,1.0
2.0,3.0,18.0,3.21196,553.0,244.0,634.0,0.0,4.0,7.99,2.39,30.0,27.43,52.0,1.0
4.0,7.0,32.0,3.86477,4543.0,14.0,15.53,0.0,3.0,2.57,1.22,6.0,5.87,11.0,-1.0
1.0,1.0,3.0,1.58496,54.0,0.0,82.33,0.0,2.0,22.89,1.67,11.0,9.57,11.0,-1.0
2.0,2.0,5.0,1.90647,446.0,269.0,1113.0,0.0,3.0,0.05,9.0,33.0,30.22,58.0,1.0
2.0,3.0,6.0,1.80955,220.0,136.0,796.67,0.0,3.0,1.89,7.67,7.0,6.81,12.0,1.0
1.0,1.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.81,7.0,-1.0
2.0,4.0,14.0,2.18624,1346.0,1074.0,732.14,0.0,3.0,9.22,4.0,37.0,33.11,66.0,1.0
2.0,3.0,14.0,2.29415,2490.0,1500.0,404.36,0.0,3.0,6.09,4.21,39.0,34.57,70.0,1.0
2.0,3.0,4.0,1.2595,169.0,19.0,425.5,0.0,3.0,0.62,13.0,41.0,36.47,74.0,-1.0
2.0,3.0,23.0,1.42908,1435.0,711.0,574.91,0.0,4.0,3.76,2.91,43.0,37.74,78.0,1.0
2.0,4.0,21.0,3.38349,453.0,595.0,634.1,0.0,3.0,6.06,3.14,44.0,38.44,80.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,95.0,0.0,3.0,0.9,57.0,46.0,40.35,41.0,-1.0
1.0,1.0,2.0,0.967295,19.0,14.0,183.5,0.0,1.0,14.44,1.5,12.0,9.75,12.0,-1.0
2.0,4.0,7.0,1.96473,257.0,171.0,981.57,0.0,3.0,1.81,10.29,20.0,18.5,37.0,-1.0
2.0,3.0,4.0,0.779176,107.0,90.0,471.75,0.0,3.0,7.45,18.75,21.0,19.34,39.0,1.0
2.0,4.0,15.0,3.11385,62.0,58.0,723.73,0.0,3.0,5.71,5.2,51.0,44.53,92.0,1.0
2.0,2.0,7.0,1.28721,115.0,111.0,1218.71,0.0,3.0,3.28,11.29,23.0,21.19,43.0,-1.0
2.0,2.0,2.0,0.591673,7.0,0.0,86.0,0.0,3.0,4.11,39.0,28.0,25.83,28.0,-1.0
2.0,5.0,17.0,1.85576,51.0,365.0,511.29,0.0,3.0,9.02,5.29,57.0,49.65,103.0,1.0
2.0,3.0,5.0,1.17067,275.0,151.0,473.0,0.0,3.0,8.35,18.6,30.0,27.41,55.0,-1.0
3.0,3.0,3.0,0.533998,86.0,34.0,79.67,0.0,3.0,36.84,28.33,31.0,28.41,61.0,-1.0
2.0,4.0,9.0,2.03009,530.0,308.0,760.33,0.0,3.0,5.15,11.11,63.0,54.64,115.0,1.0
2.0,4.0,21.0,3.4827,1198.0,496.0,413.76,0.0,3.0,13.21,4.9,33.0,30.03,60.0,1.0
2.0,3.0,4.0,1.39693,62.0,28.0,1170.25,0.0,3.0,2.43,25.5,65.0,56.13,119.0,-1.0
