@relation hbase-1-train4

@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute buggy_RA numeric

@data

2,3,30,3.57346,2557,1276,273.87,0,2,7.97,0.13,3,2.91,3,1
1,2,25,3.76301,1568,1270,390.92,0,2,6.48,0.28,0,0,0,1
1,1,1,0,1,1,378,1,1,27.1,4,6,5.58,6,-1
2,2,4,1.63965,76,74,924,0,2,3.14,2.5,4,3.98,6,-1
2,2,3,0.627481,455,340,962.33,0,2,0.45,3.67,5,4.97,8,-1
1,1,1,0,2,0,20,0,1,4.78,10,13,12.77,10,-1
2,3,11,2.33865,760,123,616.27,0,2,4.11,1.73,14,13.6,21,1
3,4,34,4.02321,2103,932,370.35,0,3,12.9,0.71,18,17.22,31,1
1,1,1,0,200,0,0,0,0,0,0,8,7.13,8,1
2,2,3,1.52193,5,5,557.67,0,2,3.58,10.33,0,0,0,-1
2,2,3,0.892943,19,2,574.67,0,3,6,11.33,1,1,2,-1
3,3,6,1.78304,88,80,710.17,0,3,7.36,5.83,2,1.98,4,-1
1,1,1,0,0,0,0,0,0,0,0,5,4.88,0,-1
2,2,4,1.30085,256,127,1042.5,0,3,1.1,10.5,31,28.32,54,1
2,4,5,1.79775,42,15,100.6,0,3,0.88,9.4,9,8.81,15,-1
2,3,3,0.787654,147,4,625,0,3,0.07,16.33,34,31.06,60,-1
2,3,13,2.78236,85,88,526.46,0,4,4.65,4.08,11,10.72,19,1
2,2,3,1.13407,56,56,1305.33,0,3,0.44,17,36,32.81,64,-1
2,4,8,2.35855,373,78,335.88,0,3,7,6.38,12,11.62,21,-1
2,3,6,2.28176,731,0,11.83,0,3,0.45,7.5,13,12.53,23,1
2,3,3,0.966381,140,22,631,0,3,2.94,17.67,14,13.53,25,-1
