ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_RA
3.0,10.0,97.0,5.14656,6154.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.99,0.0,-1.0
1.0,1.0,1.0,0.0,3.0,8.0,135.0,0.0,1.0,2.92,2.0,10.0,9.89,2.0,-1.0
1.0,1.0,2.0,1.0,6.0,6.0,113.0,0.0,1.0,2.96,0.5,13.0,12.89,9.0,-1.0
1.0,9.0,51.0,5.29014,0.0,108.0,195.47,1.0,1.0,2.91,0.12,14.0,13.89,10.0,-1.0
2.0,2.0,10.0,1.40391,191.0,86.0,156.7,0.0,1.0,6.89,0.1,15.0,14.89,13.0,-1.0
1.0,1.0,1.0,0.0,5.0,2.0,101.0,0.0,1.0,4.03,1.0,20.0,19.84,3.0,-1.0
1.0,1.0,20.0,3.78009,83.0,17.0,118.45,0.0,1.0,1.73,0.2,21.0,20.84,14.0,1.0
1.0,1.0,1.0,0.0,1.0,1.0,24.0,0.0,1.0,5.0,1.0,27.0,26.78,3.0,-1.0
1.0,1.0,1.0,0.0,1.0,1.0,183.0,0.0,1.0,3.09,3.0,33.0,32.69,23.0,-1.0
1.0,1.0,1.0,0.0,9.0,10.0,330.0,0.0,1.0,2.99,12.0,39.0,38.29,13.0,-1.0
2.0,2.0,5.0,1.86054,58.0,5.0,54.2,0.0,1.0,5.4,1.0,43.0,42.07,11.0,-1.0
1.0,1.0,1.0,0.0,1.0,1.0,822.0,0.0,1.0,1.14,4.0,45.0,44.06,32.0,-1.0
2.0,2.0,2.0,0.580788,122.0,15.0,202.5,0.0,1.0,11.08,3.5,50.0,48.06,45.0,1.0
1.0,1.0,1.0,0.0,1.0,1.0,686.0,0.0,1.0,18.17,4.0,52.0,49.94,39.0,1.0
1.0,1.0,1.0,0.0,2.0,2.0,36.0,0.0,1.0,0.01,1.0,54.0,51.44,4.0,-1.0
1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.45,0.5,55.0,52.43,3.0,-1.0
1.0,1.0,1.0,0.0,2.0,0.0,322.0,0.0,1.0,18.93,9.0,57.0,54.41,40.0,-1.0
1.0,1.0,1.0,0.0,1.0,1.0,207.0,0.0,1.0,0.02,6.0,59.0,56.41,42.0,-1.0
1.0,1.0,1.0,0.0,1.0,1.0,108.0,0.0,1.0,0.07,4.0,61.0,58.4,7.0,-1.0
2.0,2.0,2.0,0.954434,14.0,2.0,35.5,0.0,1.0,7.42,1.5,63.0,60.28,18.0,-1.0
2.0,2.0,2.0,0.991076,9.0,0.0,46.0,0.0,1.0,6.14,2.5,75.0,71.04,22.0,-1.0
2.0,3.0,4.0,1.8454,47.0,9.0,214.75,0.0,1.0,16.51,3.75,80.0,75.08,70.0,-1.0
1.0,1.0,1.0,0.0,2.0,2.0,503.0,1.0,2.0,6.94,8.0,81.0,76.08,57.0,-1.0
1.0,1.0,1.0,0.0,5.0,3.0,881.0,1.0,2.0,5.94,10.0,88.0,82.64,64.0,1.0
1.0,1.0,1.0,0.0,3.0,1.0,449.0,1.0,2.0,0.0,9.0,90.0,84.64,66.0,-1.0
1.0,2.0,3.0,0.875785,81.0,32.0,225.0,0.0,2.0,29.37,1.67,91.0,85.45,67.0,1.0
1.0,1.0,2.0,0.742488,16.0,3.0,339.5,0.0,2.0,6.52,2.5,97.0,90.33,72.0,1.0
2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,33.95,0.67,100.0,93.09,82.0,-1.0
