@relation hcommon-1-train2

@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute buggy_RA numeric

@data

1,5,15,3.62675,2941,0,0,0,0,0,0,4,3.96,3,-1
3,4,6,1.89782,18,34,290,0,1,2.87,0.83,9,8.89,13,1
1,7,12,3.20269,57,36,83,0,1,1.47,0.33,17,16.84,12,-1
1,1,1,0,182,4,16,0,1,0.14,1,22,21.84,15,-1
3,5,7,2.03578,394,4,71.71,0,1,0.85,1.43,24,23.78,28,1
2,3,3,0,9,7,185.67,0,1,2.24,4,31,30.7,32,-1
1,2,3,1.0032,43,8,176.67,0,1,1.32,2.67,32,31.7,22,-1
1,1,1,0,1,1,315,0,1,0.21,7,35,34.68,25,-1
1,1,1,0,9,2,315,0,1,0.01,8,36,35.68,26,-1
2,3,3,1.46184,17,2,364,0,2,4.76,2.67,44,43.07,38,-1
1,1,1,0,3,2,249,1,1,19.36,2,49,47.16,36,-1
1,1,2,0.684038,6,5,269,1,2,15.08,3,51,48.95,38,-1
1,1,1,0,1,1,207,0,1,12.89,5,58,55.41,41,-1
2,2,4,1.80674,32,14,84.5,0,1,1.21,2.5,64,61.12,20,-1
1,1,1,0,27,5,864,0,2,1.9,6,3,2.9,3,-1
1,1,1,0,129,15,324,0,1,23.47,5,5,4.9,5,-1
1,1,1,0,2,2,35,0,1,26.93,3,70,66.43,48,-1
1,1,1,0,5,0,875,0,1,3.84,7,71,67.43,49,1
1,1,1,0,15,26,514,0,2,3.96,7,72,68.41,50,1
1,1,8,2.52641,29,29,185.88,0,1,32.05,0.25,77,72.83,5,-1
1,1,1,0,10,0,10,0,1,0.06,1,82,77.07,58,-1
1,1,2,0.676942,25,3,437.5,0,2,7.82,5,84,78.89,60,1
1,2,4,1.22441,208,18,122.5,0,1,30.1,0.5,87,81.64,63,-1
1,1,1,0,1,0,451,0,2,5.97,10,98,91.32,73,1
1,7,16,3.21605,454,28,236.88,1,2,16.01,2.38,102,94.89,77,1
1,2,2,0.77935,56,22,499.5,1,1,8.55,5.5,103,95.88,78,1
1,1,1,0,1,0,152,0,1,25.98,8,107,98.65,14,-1
1,1,1,0,4,6,881,1,2,7.02,12,113,104.12,86,-1
1,1,1,0,10,6,339,1,2,0.87,8,114,105.12,87,-1
1,2,7,2.61198,21,54,65.29,0,1,43.17,0.86,117,108.08,90,-1
1,1,1,0,18,0,0,0,0,0,0,118,109.08,91,-1
1,1,1,0,22,60,879,1,2,0.16,13,119,110.08,92,1
1,1,2,0.684038,8,3,575.5,0,2,3.11,5.5,122,112.81,95,-1
1,1,1,0,6,1,841,0,2,1.82,14,124,114.56,97,1
1,1,1,0,1,1,7,0,1,60.82,1,125,115.55,15,-1
0,0,0,0,0,0,0,0,0,0,0,129,119.54,0,-1
1,1,2,0.893571,28,30,359,0,2,14.81,7,137,125.66,102,1
1,1,1,0,2,1,63,0,1,33.05,6,145,132.6,16,-1
1,2,7,2.02987,127,8,399.43,1,2,25.62,4.71,150,136.93,110,1
1,1,1,0,12,0,33,0,1,2.93,6,152,138.66,26,-1
1,1,1,0,5,0,73,0,1,0.11,13,161,145.87,33,-1
2,2,5,1.93209,31,13,288,1,2,14.08,7.8,162,146.87,154,1
2,2,2,0.985228,6,1,760.5,1,2,0.93,14,166,150.18,162,1
2,4,10,2.47068,273,118,494.5,1,3,10.4,5.8,167,149.71,164,1
2,2,2,0.353359,34,26,791,1,2,0.24,15.5,169,151.61,168,-1
1,1,1,0,1,1,114,0,1,0.59,23,171,153.34,43,-1
3,5,5,2.23457,34,1,583,0,2,4.09,11,179,160.53,203,-1
1,1,1,0,1,1,1557,0,2,1,18,181,162.14,138,-1
1,4,12,2.96249,103,62,284,0,2,14.08,4,182,163.13,139,1
1,1,1,0,2,7,559,0,2,1.11,13,183,164.09,140,-1
2,2,4,1.3578,131,121,372.75,0,2,21.83,12,187,166.88,197,-1
2,5,20,3.7847,2802,1,27.25,0,1,0.05,2.85,197,176.02,215,1
3,7,12,1.92928,168,45,473.25,0,3,1,8.5,199,177.96,240,1
1,2,3,1.43552,6,3,186,0,1,27.49,6,204,182.21,159,1
4,7,13,2.07012,780,68,504.77,0,3,19.18,7.69,205,183.2,271,1
3,3,5,0.775661,185,103,233.2,0,1,18.68,14,210,188.1,244,-1
0,0,0,0,0,0,0,0,0,0,0,215,189.9,0,-1
2,4,10,2.70243,417,160,165.7,0,2,8.66,7.7,217,191.89,243,-1
3,4,4,1.08331,567,0,97.75,0,2,0.02,16.75,220,194.88,275,1
2,2,2,0.629249,12,7,574,1,1,13.59,33,226,199.46,258,1
2,2,2,0.954434,6,2,367,0,2,0.06,37.5,228,201.43,262,1
2,2,5,1.18563,66,8,253.4,0,1,13.99,17.2,230,202.5,266,1
2,2,2,1,5,1,172.5,0,1,2.65,33.5,231,203.41,268,-1
2,8,18,2.69487,285,139,204.89,0,2,16.82,5.94,233,204.42,271,1
1,1,1,0,1,1,1025,1,1,2.99,22,234,203.94,182,-1
1,2,2,0.918296,8,1,955,0,2,10.35,11.5,237,206.07,185,-1
2,2,2,0.696212,13,3,206.5,1,1,53.07,37.5,239,207.96,281,-1
2,2,2,0.918296,5,1,334,1,1,5.4,40,240,208.53,283,-1
2,2,2,0.970951,4,6,1001.5,0,2,2.01,44,246,211.95,293,-1
1,1,1,0,6,4,373,0,1,12.02,2,250,215.5,197,-1
1,2,2,0.977418,8,9,309.5,0,1,3.57,2,251,216.49,198,-1
1,1,1,0,0,0,0,0,1,11.95,6,252,217.46,199,-1
1,1,1,0,1,1,245,0,1,1.89,3,255,219.51,202,-1
5,19,55,5.07481,403,365,403.53,0,3,23.47,3.6,256,220.49,364,1
1,1,1,0,1,0,498,0,2,0.03,21,258,222.47,205,1
3,3,4,0.57315,212,138,260.75,0,1,15.81,22,260,224.43,329,-1
0,0,0,0,0,0,0,0,0,0,0,263,227.43,0,-1
2,2,11,2.31071,533,134,216.09,0,1,21.94,8.27,275,237.74,330,1
2,3,4,0.810919,65,38,929.5,1,2,3.93,27.25,278,239.73,335,1
2,2,2,0.529361,16,9,640,1,2,2.51,52,279,240.7,337,-1
1,1,1,0,1,1,381,0,1,0.05,100,285,245.54,127,-1
2,2,3,0.540126,331,184,296.67,0,1,3.91,3,286,246.53,238,-1
2,2,3,0.32357,93,318,439.67,1,2,1.1,36.33,292,249.52,356,1
2,2,2,0.532835,18,15,720,1,1,10.89,58.5,293,247.69,358,-1
2,4,10,2.61444,695,24,291.2,0,2,4.15,14.5,295,249.61,362,1
3,3,4,0.579921,378,91,360.75,1,2,4.14,30.25,297,250.53,396,1
2,2,2,0.566509,23,7,749.5,1,2,6.01,62.5,298,251.52,368,1
2,2,2,0.322757,27,24,778.5,1,1,1.02,62,300,252.91,372,-1
1,1,1,0,14,13,585,1,2,1.12,11,301,253.87,234,-1
1,1,1,0,5,1,212,0,1,37.78,2,306,256.58,239,-1
3,5,8,2.40056,378,109,277.88,0,2,8.01,17,310,260.51,394,1
2,10,31,3.44089,529,59,338.1,1,2,27.5,5.74,318,267.28,403,1
1,1,1,0,4,4,236,0,1,15.63,5,329,269.99,258,-1
1,1,1,0,2,2,113,0,1,1.15,12,330,270.91,36,-1
2,2,2,0.046643,575,200,447,0,1,1.9,68,332,271.78,421,1
2,2,3,0.774243,39,18,331.67,0,1,33.06,51.33,339,276.22,431,-1
2,2,2,0.078439,311,0,257,0,1,0.02,69.5,345,282.18,439,1
3,5,12,3.13604,446,11,547.08,0,2,6.82,17,349,284.94,482,1
2,2,13,3.31006,82,88,80.85,0,2,10.95,12.85,351,284.41,210,-1
2,4,5,1.54073,22,6,548.6,1,2,34.5,33.8,354,286.77,454,-1
2,2,4,1.54345,608,406,407.25,0,1,1.48,39.5,363,295.14,467,1
2,2,2,0.529361,20,5,1264,0,2,0.01,83.5,365,297.02,471,-1
2,2,2,0.220283,48,37,754.5,0,1,16.49,81.5,371,299.46,480,-1
2,2,2,0.220283,37,48,760,0,1,0.9,82,373,300.86,483,-1
2,2,2,0.970951,4,1,361.5,0,1,7.19,82,374,301.86,485,-1
2,2,2,0.426229,44,2,576.5,0,1,9.26,82,378,305.79,493,1
2,3,5,0.292484,220,2,673.8,0,2,8.81,37,381,308.16,498,-1
1,1,1,0,63,1,64,0,1,19.45,1,384,311.14,306,-1
3,3,5,0.489753,319,247,440,0,1,23.08,39.4,389,314.62,532,-1
1,1,4,1.10744,5,154,652.25,0,2,0,14.25,394,316.79,314,1
2,2,4,1.28744,160,190,748.5,1,2,0.64,50.75,396,318.34,520,1
2,3,4,1.84237,18,3,543.25,1,2,22.8,47.5,397,319.26,522,1
2,2,2,0.811278,11,1,403,0,1,27.49,93,409,322.64,543,-1
2,3,3,0.634646,60,0,480,0,1,4.34,66,416,324.64,553,-1
2,5,7,2.26511,56,28,557.43,1,1,28.27,30.57,420,327.99,561,-1
1,3,5,2.21261,13,6,495.6,0,2,34.47,9.8,3,2.11,3,-1
2,2,3,0.423697,331,259,393.67,0,1,34.92,4,437,337.81,374,-1
1,1,1,0,1,1,516,0,1,1,39,438,338.81,242,-1
0,0,0,0,0,0,0,0,0,0,0,442,342.79,0,-1
2,2,2,0.583019,28,15,1148.5,0,1,3.96,108,444,341.91,601,-1
2,2,2,0.985228,4,3,521.5,1,1,3,111.5,446,343.87,605,1
2,2,2,0.918296,8,1,502.5,1,1,3.61,109.5,447,344.75,607,-1
3,8,11,1.33694,409,311,667.09,0,2,7.7,24,451,348.2,638,-1
3,7,17,2.77422,1196,86,291.65,1,3,13.5,16.76,456,352.3,667,1
2,3,4,1.38666,62,29,812.75,1,1,60.14,58,457,353.23,624,1
3,7,14,2.91052,154,33,719.5,0,3,26.06,20.71,464,357.23,681,1
2,2,2,0.566509,22,8,656,0,2,0.01,122,472,363.7,650,1
2,3,4,1.28523,45,32,677,0,1,10.33,65.25,476,363.78,658,-1
2,2,2,0.845351,8,3,707,0,1,9.51,123,477,364.78,660,1
2,7,14,3.32368,108,115,361.57,0,2,26.33,20.64,480,365.6,666,1
2,4,4,1.70288,138,5,904.25,1,2,26.36,65.25,481,365.76,668,-1
2,2,2,0.721928,11,4,475.5,0,1,34.22,125.5,485,367.47,324,-1
2,5,7,2.28383,143,69,537.71,0,1,90.14,37.14,487,368.61,678,1
2,2,2,0.479832,24,5,583,1,1,7.94,134.5,503,378.31,704,1
4,7,12,1.41338,529,366,664.83,0,3,23.74,28.75,506,381.26,789,-1
0,0,0,0,0,0,0,0,0,0,0,507,382.25,0,-1
2,2,3,0.725311,168,3,572,1,1,8.66,89.33,508,379.22,712,1
2,2,2,0.970951,8,2,1135.5,0,2,6.97,142.5,509,380.21,714,-1
2,3,3,1.42191,12,11,620,1,2,5.76,96.33,513,384.17,722,-1
2,5,7,1.34098,184,39,832.57,1,3,29.22,43.43,514,383.67,724,1
2,2,2,0.566509,24,6,1766,1,2,1.73,145.5,518,386.13,732,-1
2,2,2,0.405977,33,4,620.5,0,1,12.5,139,520,384.79,736,-1
2,7,19,4.21138,273,0,164.53,0,1,74.69,15.16,523,387.77,742,-1
2,2,6,2.02416,106,68,919.5,1,2,42.33,51.83,527,390.2,750,1
2,2,2,0.721928,9,6,612,1,2,0.08,149,537,396.05,770,-1
2,4,6,1.42344,115,91,458.33,1,2,4.74,51.5,540,399.04,776,1
1,1,2,0.970951,4,1,834.5,0,1,0.42,161,543,401.34,337,-1
2,2,2,0.970951,4,1,728.5,1,1,0.51,151.5,545,403.27,785,-1
2,12,35,4.86329,195,60,430.51,1,3,1.17,10.49,546,404.07,787,1
0,0,0,0,0,0,0,0,0,0,0,553,409.3,0,-1
2,2,2,0.985228,3,4,948.5,1,1,3.61,156,557,410.15,805,-1
2,2,2,0.811278,6,2,641.5,0,2,4.38,161,558,410.33,394,-1
2,5,8,1.47304,61,21,596.88,0,3,5.5,42.13,559,411.29,808,1
2,2,2,0.650022,13,5,1208,1,2,3.47,166,562,414.21,814,-1
2,4,5,1.77246,150,2,262.8,0,2,9.41,66.4,571,418.19,832,-1
2,2,2,0.970951,4,1,676.5,1,2,7.55,167,581,427.28,848,1
2,3,6,1.1113,253,191,696.33,0,3,27.06,58.5,585,426.73,854,1
2,2,2,0.970951,4,1,753,1,3,10.03,174,587,428.72,858,-1
2,2,3,0.49715,15,9,674.33,0,3,4.04,123.67,588,429.71,422,-1
2,3,3,0.772628,143,12,681.67,1,3,3.38,115.67,589,430.71,861,-1
4,6,24,1.37371,248,90,71.96,1,3,9.59,14.88,595,434.97,929,-1
1,1,3,1.46916,21,41,914,1,2,1.09,32.67,597,436.96,493,1
2,2,2,0.985228,5,2,670.5,1,2,14.11,174,599,433.56,879,-1
2,3,5,1.5736,26,28,961,1,3,10.81,74,605,436.92,890,1
2,4,5,1.7538,109,57,341.2,1,3,18.63,71.6,609,436.41,894,-1
3,9,13,1.64348,595,492,473.85,0,3,15,31,611,438.4,935,-1
3,6,15,2.931,954,280,541.8,0,4,12.82,28.73,625,451.43,978,1
2,2,2,0.970951,4,1,1009,0,3,2.41,192,630,452.02,467,-1
2,3,3,1.19879,34,12,545,0,3,14.04,126,631,453.02,934,-1
2,3,3,1.53062,10,4,580.67,1,3,11.93,130.67,638,459.15,948,1
2,2,2,0.365055,41,2,1110.5,0,3,0.55,195.5,639,460.05,950,1
3,7,10,2.52733,50,41,381.5,1,4,18.58,40.8,641,461.98,1003,1
1,1,1,0,7,2,1401,0,3,1.91,387,643,462.17,423,-1
2,2,2,0.197065,82,49,957,1,3,3.98,198,649,468.1,965,1
2,2,5,1.98715,55,25,1169.6,1,4,17.33,84,650,466.37,967,1
2,7,34,4.41643,321,169,284.18,0,4,25.8,13.53,655,471.3,977,1
2,2,2,1,7,1,804,0,3,24.36,200.5,660,474.45,987,1
2,2,3,1.55666,5,2,641,0,3,23.95,134,661,475.43,989,-1
2,2,2,0.985228,5,2,2042,1,4,6.98,210.5,666,467.18,997,-1
2,2,3,1.12083,151,0,491,0,3,0,135.67,667,468.17,999,1
2,4,21,3.77626,989,110,176.9,0,3,59.67,19.57,668,469.14,1001,-1
2,2,2,0.249882,37,35,1189,1,3,7.01,208.5,669,470.12,1003,-1
2,4,5,2.25776,8,5,961.8,0,4,14.21,87.6,670,471.01,1005,-1
2,5,14,2.48737,702,19,588.21,0,4,21.71,32.14,675,475.22,1015,1
2,4,5,1.27906,61,98,608.6,0,4,15.16,86.2,679,478.23,1022,1
0,0,0,0,0,0,0,0,0,0,0,682,481.1,0,-1
2,3,4,1.59436,30,18,590.75,1,3,20.05,105,684,480.4,1026,1
2,2,2,0.811278,11,1,941.5,1,3,13.52,213.5,689,485.2,1036,-1
2,3,3,0.978016,11,6,662,1,3,25.13,145.67,693,488.15,1043,1
2,3,3,1.53049,6,3,771.33,1,4,3.4,148,696,490.31,1049,1
2,3,7,2.60307,27,23,941.43,0,4,20.29,67.71,706,494.46,1065,1
2,2,4,1.26897,68,72,1180.75,1,4,1.45,115.25,712,498.53,1076,1
2,5,19,3.38071,106,157,236.11,1,3,52.68,23.58,715,501.37,1082,1
3,5,11,2.08779,822,39,768.45,0,4,28.9,44.64,716,501.57,1146,1
2,5,22,4.10497,1876,0,104.23,0,3,0.09,21.5,717,502.5,1086,1
2,5,9,2.98523,24,4,906.78,0,4,5.94,54.11,723,502.46,1096,-1
1,1,1,0,1,1,3045,0,2,0.06,73,725,504.4,605,-1
2,2,2,0.918296,6,3,1614.5,0,4,1.52,239,731,509.38,1111,1
4,5,20,2.97886,1801,138,432.55,1,4,48.46,25.9,735,513.34,1235,1
2,2,5,1.34551,47,28,1348.2,1,4,22.77,99.2,738,512.32,1125,-1
2,2,2,0.574636,16,6,910.5,0,3,25.1,236.5,743,516.3,1135,-1
0,0,0,0,0,0,0,0,0,0,0,746,519.29,0,-1
2,2,3,1.30798,14,17,953.67,0,3,28.18,161.67,748,521.28,1143,-1
2,4,5,1.99787,250,1,510,0,3,19.49,97,752,523.35,1150,-1
2,2,2,0.629249,13,6,975.5,1,3,35.99,241.5,756,527.27,1158,-1
3,6,16,2.92133,1880,182,603.88,0,4,9.22,32.88,757,528.09,1224,1
0,0,0,0,0,0,0,0,0,0,0,760,531.07,0,-1
2,2,2,0.863121,6,1,2179,1,3,6.36,246,761,529.11,1164,-1
2,2,2,0.345117,44,18,1657.5,1,4,3.88,252.5,763,529.1,1168,1
3,4,4,1.14323,40,26,827.25,0,3,2.76,129.75,775,538.84,1256,1
3,3,4,0.397236,585,483,980.5,0,3,5.19,129.25,777,540.77,1201,-1
2,2,2,0.985228,4,3,2751.5,1,4,0.53,262,785,544.46,1208,-1
1,1,1,0,4,1,1786,0,3,0,508,786,545.45,550,-1
2,2,2,0.970951,7,3,2653,1,4,5.07,252.5,787,546.41,1211,-1
2,2,3,0.427286,68,50,162.67,0,2,43.09,3.67,0,0,0,-1
2,2,2,0.684038,21,1,1170.5,1,3,45.43,256.5,788,544.27,1213,-1
2,2,4,0.634754,31,16,536,1,3,5.3,128.5,791,547.24,1219,1
2,3,3,0.11238,465,0,625,0,3,3.02,172,795,551.23,1226,1
3,4,4,1.92379,11,5,814,1,3,8.76,132.5,797,553.21,1297,-1
2,3,3,0.91376,118,2,658.67,0,3,32.98,173,802,552.8,1238,-1
2,4,15,2.69574,520,118,600.47,0,4,25.13,38,803,553.79,1240,1
2,4,11,3.13082,196,107,192,0,3,12.13,47.45,1,0.99,1,-1
2,6,6,2.34709,16,14,654.83,1,4,35.41,88.67,808,558.7,1249,1
2,7,19,3.76742,149,63,692.74,0,5,27.69,30,811,560.72,1255,1
2,2,4,1.54041,71,26,563,1,4,24.13,132.75,814,562.69,1260,-1
2,10,33,3.75343,1966,1424,415.94,0,5,32.45,17.67,823,566.94,1278,1
1,1,1,0,1,1,1896,0,4,0.76,541,824,567.08,584,-1
2,2,2,0.77935,12,1,1370.5,0,4,0.45,275,827,569.99,1285,-1
2,3,4,1.29376,370,6,1434.75,0,5,0.01,140.5,828,570.97,1287,1
2,5,5,1.51227,28,17,499.6,1,4,57.71,109.4,829,571.84,1289,-1
2,2,2,0.970951,4,1,984.5,0,4,16.97,278.5,832,573.78,646,-1
2,3,18,2.89008,582,175,461.39,0,5,14.56,34.06,833,573.71,1296,1
2,2,2,0.721928,17,3,2898.5,1,5,0,286.5,838,578.61,1306,1
0,0,0,0,0,0,0,0,0,0,0,841,581.6,0,-1
0,0,0,0,0,0,0,0,0,0,0,843,583.56,0,-1
1,1,2,0.591673,17,4,1343,0,4,2.47,293,3,2.88,2,-1
2,2,2,0.200622,42,22,1406,1,4,3.58,284.5,848,582.77,1319,1
2,3,3,1.53049,7,2,860.67,1,4,46,189.67,4,3.85,6,1
0,0,0,0,0,0,0,0,0,0,0,6,5.82,0,-1
0,0,0,0,0,0,0,0,0,0,0,7,6.82,0,-1
2,3,3,1.53049,5,4,2133.67,1,5,6,196.33,10,9.77,14,1
2,2,2,0.811278,4,0,1050,0,4,67.27,287.5,13,12.74,20,-1
2,5,12,2.5402,263,94,361.83,0,4,10.94,48.25,16,15.64,26,-1
4,18,61,4.1901,2017,1165,369.54,1,5,51.21,10.69,22,21.61,39,1
2,2,2,0.970951,4,1,1116.5,0,4,11.46,296.5,861,577.8,1344,-1
2,2,2,0.77935,10,3,1736.5,1,5,11.95,305,863,579.79,1348,-1
2,2,2,0.672295,6,11,1153,1,4,24.52,297.5,864,580.77,1350,-1
2,3,3,1.52193,13,2,843,1,4,12.41,200.67,868,580.33,1358,-1
2,4,7,2.48339,64,23,547,1,5,36.34,88,29,27.82,49,1
2,2,2,0.970951,10,5,1328,1,4,0.02,308.5,875,584.14,1372,1
2,2,2,0.918296,5,1,1297,1,4,22.92,308,31,29.57,53,1
2,2,2,0.811278,3,1,1158.5,1,4,16.92,284,884,589.64,1390,-1
1,2,3,1.37878,13,8,280.33,1,2,24.08,14,887,592.57,753,-1
2,2,2,1,3,1,1174,0,4,13.47,316,892,596.48,702,-1
2,2,2,0.881291,7,3,1291.5,1,4,4.03,313,894,598.47,1406,-1
