@relation openjpa-train4

@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute buggy_RA numeric

@data

1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1
1,1,1,0,1,1,1,0,1,0.01,2,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,2,1.96,0,-1
1,1,1,0,2,0,1,0,2,6.87,3,3,2.96,2,-1
1,1,1,0,1,1,3,0,2,5.13,4,1,0.97,1,-1
1,4,16,3.8314,2,28,575.44,0,1,0.01,0.06,3,2.97,1,-1
1,7,7,2.80735,105,105,23.14,0,1,0.03,0.14,4,3.97,2,-1
1,1,1,0,0,965,965,0,1,0.71,1,5,4.96,3,-1
1,1,1,0,1,1,222,0,1,0.07,3,11,10.15,9,-1
1,1,1,0,4,1,344,0,1,9.38,3,12,10.89,10,-1
3,3,8,1.51471,75,3,508.5,0,1,0.02,0.5,14,12.87,16,-1
3,6,11,2.52795,29,100,847.36,0,1,0.84,0.45,17,15.8,22,-1
1,3,3,1.56128,5,11,1311,0,1,1.75,0.67,18,16.76,5,-1
2,10,20,4.12758,30,35,556.1,0,1,0.05,0.4,21,19.75,26,-1
1,1,1,0,2,0,3499,0,1,0.1,5,22,20.74,9,-1
2,3,3,0.797081,38,62,223.33,0,1,0.32,1.67,23,21.73,15,-1
2,4,5,2.03181,46,27,362.8,0,1,0.84,1.4,24,22.7,30,-1
3,7,14,2.53558,229,135,334.14,0,1,2.71,0.71,25,23.65,38,-1
1,1,1,0,1,0,0,0,0,0,0,26,24.65,7,-1
1,1,1,0,30,33,568,0,1,2.04,7,27,25.51,21,-1
2,4,5,1.70381,102,2,637.2,0,1,3.72,1.8,28,26.44,35,-1
2,3,4,1.35275,16,44,823.25,0,1,4.07,1.75,30,28.43,23,-1
1,1,1,0,24,0,0,0,0,0,0,31,29.42,16,-1
3,3,7,2.07736,206,251,865.43,0,1,0.1,1.43,35,33.34,41,1
1,1,1,0,12,12,454,0,1,0.16,5,36,34.34,12,-1
2,2,3,1.55459,10,38,1988.33,0,1,0.77,4,37,35.28,47,1
1,1,2,0.764205,12,6,286.5,0,1,1.63,3,38,36.19,13,-1
1,1,1,0,0,1,731,0,1,1.71,2,39,37.19,4,-1
1,1,1,0,1,3,75,0,1,1.71,5,40,38.19,20,-1
3,4,4,1.79679,12,3,743,0,1,1.73,3.25,41,39.17,55,-1
1,1,1,0,11,38,915,0,1,1.95,7,0,0,0,-1
1,1,1,0,2,2,604,0,1,3.97,6,1,1,1,-1
1,1,1,0,74,63,1080,0,1,4.8,4,0,0,0,-1
1,1,1,0,0,2,900,0,1,2.88,3,1,1,0,-1
2,7,24,2.59017,661,610,930.25,0,3,4.95,0.63,0,0,0,1
7,26,77,4.78655,1024,909,630.1,0,4,4.92,0.35,0,0,0,1
1,1,2,1,2,2,1381,0,3,0.06,4,5,4.98,4,-1
1,1,2,0.402179,15,35,753,0,3,2.94,4.5,42,39.75,22,-1
1,1,1,0,2,2,625,0,1,6.02,2,43,40.74,6,-1
1,1,1,0,1,3,24,0,1,0.13,1,9,8.97,2,-1
1,1,1,0,2,0,22,0,1,0.01,2,10,9.97,3,-1
1,1,2,1,2,2,23,0,1,0.01,2,11,10.97,4,-1
1,2,30,0,0,0,0,0,1,0.02,0.03,12,11.97,5,-1
1,1,1,0,215,18,29,0,1,0.03,1,14,13.97,7,-1
