ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_RA
1,4,5,1.8478400000000001,384,0,0.0,0,1,0.15,0.2,1,1.0,1,1
1,1,1,0.0,3,1,554.0,0,1,1.76,1.0,0,0.0,0,-1
2,5,7,2.33587,311,167,567.0,0,1,1.9,0.14,2,1.99,3,-1
3,8,15,2.6960599999999997,424,151,479.73,1,1,1.9,0.07,1,1.0,1,1
3,3,3,0.160683,83,66,1969.0,0,2,0.71,0.67,2,2.0,4,-1
2,2,3,1.03175,45,11,414.67,1,2,3.59,1.0,3,2.98,5,1
2,2,2,0.27139,56,30,607.5,1,2,3.48,2.0,4,3.96,7,1
2,11,43,4.81688,2093,2,21.26,0,2,0.14,0.12,0,0.0,0,-1
1,1,2,0.63431,23,2,484.0,0,3,0.0,3.5,2,2.0,2,-1
2,2,4,1.36384,379,0,247.5,0,3,0.24,2.25,4,3.99,4,-1
3,3,4,1.13533,2,116,156.75,0,3,3.81,2.5,5,4.97,7,-1
1,1,2,0.179256,73,1,511.0,0,3,2.81,5.5,6,5.94,6,-1
3,3,3,0.500668,267,149,276.33,0,3,7.16,4.0,7,6.94,10,-1
2,6,6,2.46515,43,1,1096.33,0,3,9.24,2.17,1,0.97,2,-1
2,2,3,0.6861510000000001,49,3,393.67,0,3,0.44,4.67,8,7.91,12,-1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,9,8.91,0,-1
1,1,1,0.0,8,0,567.0,0,3,0.0,15.0,10,9.91,9,-1
1,1,3,0.431017,56,2,394.0,0,3,0.26,5.33,13,12.89,12,-1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,14,13.89,0,-1
1,1,1,0.0,16,1,615.0,0,2,0.16,9.0,15,14.88,13,-1
1,8,11,3.1409700000000003,19,15,397.82,0,2,14.46,0.18,5,4.85,5,-1
1,1,2,0.672295,15,2,603.5,0,3,1.8,9.5,7,6.83,5,-1
3,8,35,4.1378699999999995,460,718,549.09,1,3,14.33,0.57,8,7.82,14,1
2,4,4,1.7179400000000002,20,4,554.0,0,1,14.77,0.75,4,3.83,6,1
3,7,11,2.1834700000000002,1247,509,386.45,0,1,10.31,0.45,5,4.83,10,1
2,3,8,1.8535099999999998,174,35,356.5,0,3,10.27,2.63,2,1.92,4,-1
1,1,4,1.56651,10,20,325.25,0,3,13.05,4.5,6,5.91,4,-1
1,1,1,0.0,24,0,29.0,0,1,22.88,1.0,8,7.9,5,-1
1,1,1,0.0,24,0,29.0,0,1,22.88,1.0,9,8.9,6,-1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,10,9.9,0,-1
3,16,50,4.473669999999999,1213,184,390.6,0,1,18.53,0.12,7,6.67,16,1
3,15,36,4.42681,675,309,334.25,0,1,11.0,0.22,8,7.57,19,-1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,11,10.59,0,-1
1,1,1,0.0,285,0,0.0,0,0,0.0,0.0,9,8.55,9,1
2,3,11,2.55864,207,56,302.18,0,1,13.82,0.73,17,15.96,20,-1
2,2,2,0.345117,62,0,741.5,0,3,23.55,10.5,13,12.55,11,-1
2,4,4,1.3686200000000002,393,117,632.0,1,3,18.28,5.5,10,9.5,17,1
3,8,10,2.2301900000000003,91,9,739.7,0,2,10.48,0.9,11,10.37,25,-1
1,3,4,1.54659,13,13,476.0,0,2,23.46,2.5,12,11.28,12,-1
2,2,3,0.9575440000000001,1789,67,1047.0,1,2,18.76,2.0,10,9.13,12,-1
3,11,38,3.39128,1384,72,354.61,1,4,42.26,0.63,14,13.14,31,1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,15,14.11,0,-1
3,18,62,3.63846,5402,495,308.55,0,2,26.3,0.21,19,17.31,25,-1
3,28,92,5.1999699999999995,7204,1253,304.41,0,4,33.93,0.3,16,15.08,34,1
3,3,3,0.85845,346,0,199.33,0,4,0.05,8.67,14,13.04,14,-1
3,4,5,1.31946,88,4,420.4,1,4,21.5,5.4,17,16.04,37,-1
1,1,1,0.0,12,12,261.0,0,1,0.84,1.0,11,10.04,9,-1
1,1,2,0.22228499999999998,56,0,622.5,0,4,16.77,15.0,0,0.0,0,-1
3,6,13,2.3867700000000003,1543,90,371.54,1,2,19.57,1.15,15,13.86,17,1
3,10,19,3.6301699999999997,338,27,368.53,0,3,33.55,0.74,16,14.82,20,-1
1,3,5,1.8889799999999999,356,0,0.6,0,1,11.37,0.2,20,17.96,0,1
3,5,8,2.01438,490,4,345.25,0,3,16.7,1.63,21,18.95,28,-1
3,3,14,2.81055,449,390,118.07,0,5,35.54,2.21,1,0.98,1,-1
3,3,3,1.28013,65,21,763.0,1,5,7.55,10.67,17,15.62,23,-1
3,6,8,0.971076,143,3,774.75,1,5,24.43,4.38,0,0.0,0,1
3,6,9,2.3454099999999998,130,12,845.0,0,6,35.94,3.78,18,16.59,26,-1
3,3,4,1.12382,67,2,323.5,1,6,17.55,8.75,19,17.49,29,-1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,18,16.31,0,-1
3,9,16,2.3166900000000004,1094,29,281.0,0,6,25.69,2.25,20,18.3,32,1
3,4,5,1.27678,87,4,419.6,1,4,39.24,5.0,19,17.3,40,-1
1,1,1,0.0,2,0,627.0,0,6,0.88,37.0,13,11.56,8,-1
3,3,3,0.749913,57,0,3245.67,0,4,25.91,8.67,21,19.21,46,-1
2,2,2,1.0,3,1,447.5,1,6,2.2,20.0,21,19.15,27,1
3,8,19,3.5197599999999998,529,168,588.63,0,6,11.36,2.16,25,22.15,37,1
2,2,2,0.970951,10,0,382.0,0,6,36.0,21.0,22,20.11,29,-1
3,4,15,2.4576599999999997,2284,17,229.73,1,6,52.49,2.93,14,12.37,25,1
2,4,4,1.6840400000000002,17,5,389.5,1,6,31.22,11.25,22,19.77,35,1
2,4,21,2.21583,3522,155,259.62,1,3,21.22,0.19,15,13.24,18,-1
3,3,3,0.6799270000000001,86,3,2097.67,0,6,13.99,15.33,16,14.1,30,-1
3,3,3,1.16744,26,12,674.33,0,6,13.05,15.67,28,24.37,44,-1
2,5,7,2.51042,131,39,259.0,1,6,28.61,6.86,29,25.37,39,-1
3,4,5,1.9685400000000002,55,12,396.8,1,6,27.0,9.8,23,20.41,51,-1
2,5,5,1.26854,469,7,534.4,0,6,20.06,10.0,30,26.3,41,1
2,2,2,0.9182959999999999,4,2,424.5,0,6,40.31,25.5,25,22.2,19,-1
1,1,5,1.8189,370,0,0.0,0,0,0.0,0.0,31,27.04,0,-1
3,4,8,2.5291,111,21,275.5,0,6,30.45,6.5,32,27.98,51,-1
3,4,4,1.21339,646,237,1018.25,0,6,60.26,13.25,24,21.11,54,-1
2,2,5,0.38050100000000003,2135,2434,2234.8,0,6,67.91,10.8,33,28.91,45,-1
1,1,1,0.0,232,0,0.0,0,0,0.0,0.0,34,29.85,19,-1
2,6,18,3.7820699999999996,1951,0,37.33,0,6,0.01,3.11,27,23.96,21,1
1,1,1,0.0,1,1,674.0,0,6,2.81,57.0,35,30.63,28,-1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,36,31.63,0,-1
1,1,2,0.650022,10,2,769.0,0,6,17.31,30.0,37,32.63,29,-1
2,2,2,0.322757,30,21,659.0,1,6,12.18,29.5,17,14.63,25,-1
2,2,2,0.322757,30,21,655.0,1,6,12.31,29.0,18,15.63,27,-1
3,6,8,2.6139799999999997,200,27,567.5,0,6,37.91,7.5,26,22.84,60,-1
1,1,1,0.0,4,0,689.0,0,6,0.0,61.0,27,23.84,20,-1
1,1,1,0.0,0,4,695.0,0,6,0.0,63.0,39,34.36,31,-1
3,3,8,1.38501,256,20,577.0,0,6,32.17,7.63,28,24.64,64,-1
3,3,8,1.38501,256,20,578.0,0,6,32.18,8.0,29,25.64,67,1
2,2,2,1.0,4,0,668.0,0,6,5.79,32.5,41,35.93,55,-1
3,3,3,0.592387,104,9,348.33,1,6,52.65,22.0,42,36.93,66,-1
1,1,3,1.06128,8,8,535.0,0,6,42.66,21.33,43,37.92,35,-1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,44,38.92,0,-1
3,3,3,0.668564,32,0,934.33,0,6,7.31,22.33,2,1.81,6,-1
3,4,4,1.13877,108,1,948.25,0,6,23.07,17.0,28,24.17,47,-1
3,5,5,1.8462599999999998,92,20,710.0,1,6,22.14,13.8,3,2.79,9,1
3,9,37,4.161230000000001,2198,411,438.7,1,6,36.83,2.03,19,16.2,37,1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,47,41.35,0,-1
3,17,46,4.76894,316,155,551.33,1,6,82.04,1.57,29,24.88,50,1
3,4,6,2.1842799999999998,110,15,512.0,0,6,48.6,12.0,4,3.74,12,1
0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,48,42.14,0,-1
1,1,1,0.0,5,5,236.0,0,1,12.88,2.0,49,43.14,24,-1
1,1,1,0.0,5,5,236.0,0,1,12.9,2.0,50,44.14,25,-1
1,1,1,0.0,1,1,37.0,0,2,82.0,4.0,51,44.59,26,-1
1,1,1,0.0,1,1,37.0,0,2,82.0,4.0,52,45.59,27,-1
3,8,11,2.44082,568,40,363.73,0,6,32.17,6.64,30,25.52,53,1
1,3,7,2.5977900000000003,460,1,9.0,0,2,25.49,0.29,53,46.5,2,1
2,5,11,1.50115,1420,64,491.45,1,3,4.36,1.0,21,17.68,28,1
2,2,2,0.503258,10,8,566.0,1,6,4.02,37.0,5,4.63,10,-1
1,3,4,1.53067,43,4,236.0,0,5,6.67,2.0,30,25.13,27,1
3,4,4,1.56667,185,30,437.25,1,6,5.0,18.75,22,18.41,44,-1
3,3,3,0.941139,38,2,980.33,1,6,10.23,25.33,6,5.54,17,-1
3,4,8,1.39076,53,3,458.5,0,6,53.96,9.75,8,7.47,22,-1
3,3,3,1.13131,25,0,715.33,0,6,7.47,27.0,23,19.19,47,-1
2,5,7,1.93773,102,26,482.29,1,6,51.71,11.43,24,20.05,37,1
3,3,4,1.35123,24,0,939.25,0,6,56.12,20.25,9,8.4,25,-1
2,2,2,0.503258,10,8,549.0,1,6,46.33,31.5,10,9.31,20,-1
2,5,5,1.2252399999999999,33,17,464.2,1,6,16.36,16.6,25,20.82,39,1
