ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,buggy_RA
1.0,1.0,1.0,0.0,7.0,0.0,35.0,0.0,1.0,1.52,1.0,1.0,1.0,1.0,-1.0
1.0,5.0,17.0,1.86094,294.0,6346.0,576.0,0.0,1.0,3.26,0.06,2.0,1.99,2.0,-1.0
1.0,1.0,1.0,0.0,29.0,24.0,26.0,0.0,2.0,7.94,2.0,7.0,6.86,7.0,-1.0
1.0,1.0,1.0,0.0,21.0,0.0,122.0,0.0,1.0,11.44,1.0,9.0,8.86,9.0,-1.0
1.0,1.0,1.0,0.0,39.0,15.0,143.0,0.0,2.0,0.44,2.0,12.0,11.85,12.0,-1.0
1.0,1.0,3.0,1.58496,9.0,9.0,186.67,0.0,2.0,20.2,1.33,18.0,17.32,18.0,-1.0
1.0,1.0,6.0,1.28256,4733.0,5022.0,837.0,0.0,1.0,11.28,0.33,19.0,18.32,19.0,-1.0
1.0,3.0,7.0,1.05146,10.0,102.0,95.57,0.0,1.0,24.16,0.14,20.0,19.32,20.0,1.0
1.0,2.0,15.0,3.67577,100.0,287.0,170.73,0.0,2.0,19.89,0.4,26.0,24.99,26.0,1.0
1.0,2.0,5.0,2.21437,33.0,30.0,172.2,0.0,2.0,12.41,1.4,27.0,25.73,27.0,-1.0
1.0,1.0,1.0,0.0,40.0,5.0,166.0,0.0,2.0,0.36,6.0,28.0,26.7,28.0,1.0
1.0,1.0,1.0,0.0,0.0,41.0,121.0,0.0,2.0,7.98,6.0,55.0,51.71,4.0,-1.0
1.0,7.0,10.0,2.86542,96.0,111.0,180.4,1.0,2.0,16.55,0.5,33.0,31.4,33.0,1.0
1.0,1.0,1.0,0.0,44.0,42.0,326.0,1.0,2.0,0.01,4.0,35.0,33.33,35.0,-1.0
1.0,1.0,1.0,0.0,10.0,2.0,12.0,0.0,1.0,4.75,3.0,38.0,35.81,38.0,-1.0
1.0,2.0,2.0,0.935941,64.0,7.0,31.5,0.0,1.0,2.46,3.0,41.0,38.57,41.0,-1.0
1.0,1.0,1.0,0.0,2.0,0.0,31.0,0.0,1.0,0.15,5.0,42.0,39.56,42.0,-1.0
1.0,1.0,1.0,0.0,21.0,0.0,134.0,0.0,1.0,0.16,4.0,56.0,52.82,45.0,-1.0
1.0,1.0,1.0,0.0,21.0,0.0,80.0,0.0,2.0,24.18,8.0,59.0,54.73,47.0,-1.0
1.0,1.0,2.0,0.342464,46.0,1.0,22.0,0.0,1.0,31.13,0.5,65.0,60.42,51.0,-1.0
1.0,2.0,2.0,0.503258,58.0,5.0,125.5,1.0,2.0,49.4,4.0,72.0,66.32,55.0,-1.0
1.0,1.0,1.0,0.0,1.0,2.0,101.0,1.0,1.0,13.85,1.0,75.0,68.12,57.0,-1.0
1.0,1.0,3.0,0.7023199999999999,5.0,62.0,139.0,0.0,2.0,68.68,1.33,81.0,72.06,63.0,-1.0
1.0,1.0,1.0,0.0,2.0,0.0,204.0,0.0,2.0,6.03,6.0,83.0,72.99,65.0,-1.0
1.0,2.0,5.0,1.78931,299.0,289.0,95.6,0.0,2.0,40.96,1.4,84.0,73.84,66.0,1.0
1.0,1.0,1.0,0.0,16.0,0.0,277.0,0.0,1.0,95.91,1.0,43.0,39.42,1.0,-1.0
1.0,1.0,2.0,0.468996,10.0,0.0,4.0,0.0,1.0,0.44,0.5,95.0,83.45,77.0,-1.0
1.0,1.0,1.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,84.42,78.0,1.0
1.0,4.0,5.0,0.6032649999999999,130.0,5.0,88.6,0.0,2.0,32.42,1.6,97.0,85.42,79.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,214.1,0.0,-1.0
1.0,1.0,3.0,1.32461,90.0,0.0,173.0,0.0,2.0,4.75,3.67,103.0,90.4,85.0,-1.0
